sample_role,scene,object_hypothesis_id,sar_gt_id,sar_frame,vehicle_research_eligibility,azimuth_prior_contains_gt,vehicle_size_shell_contains_gt,range_shell_contains_gt,local_visualization_path,repo_sample_visualization_path
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,248,376,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000376_248_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,249,377,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000377_249_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,250,377,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000377_250_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,251,377,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000377_251_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,252,378,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000378_252_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,253,378,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000378_253_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,254,378,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000378_254_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,255,379,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000379_255_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,256,379,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000379_256_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,257,379,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000379_257_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,258,380,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000380_258_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,259,380,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000380_259_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,260,380,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000380_260_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,261,381,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000381_261_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,262,381,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000381_262_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,264,382,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000382_264_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,265,382,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000382_265_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,267,383,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000383_267_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,268,383,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000383_268_20260702_190435.png,
方位覆盖失败样本,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,269,383,weak_vehicle_layer,false,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0014_sar000383_269_20260702_190435.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\gt_correspondence_mechanism_visualizations\gt_mechanism_20260702_190435\oty2_gt_mechanism_azimuth_fail_gm_rm017_0014_sar000383_269_20260702_190435.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,270,384,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000384_270_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,271,384,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000384_271_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,272,384,weak_vehicle_layer,false,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0014_sar000384_272_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,273,385,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000385_273_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,274,385,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000385_274_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,276,386,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000386_276_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,277,386,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000386_277_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,279,387,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000387_279_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,280,387,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000387_280_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,282,388,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000388_282_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,283,388,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000388_283_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,285,389,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000389_285_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,286,389,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000389_286_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,288,390,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000390_288_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,289,390,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000390_289_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,291,391,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000391_291_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,292,391,weak_vehicle_layer,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000391_292_20260702_190435.png,
