scene,object_hypothesis_id,sar_gt_id,sar_frame,gt_azimuth_deg,azimuth_prior_center_deg,azimuth_prior_start_deg,azimuth_prior_end_deg,azimuth_prior_width_deg,azimuth_error_to_center_deg,azimuth_prior_contains_gt,azimuth_failure_context,size_shell_mode,gt_long_axis_px,gt_short_axis_px,gt_axis_aspect,vehicle_size_shell_contains_gt,base_vehicle_size_shell_contains_gt,size_shell_angular_width_at_gt_radius_deg,size_shell_to_azimuth_width_ratio,size_shell_compression_effect,shape_range_shell_mode,shape_range_shell_radius_min_px,shape_range_shell_radius_max_px,shape_range_shell_width_px,range_shell_contains_gt,range_shell_note
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,297,393,20.774,-7.958,-45.411,34.588,79.999,28.732,true,,relaxed_state_size_shell,187.400,70.497,2.6583,true,true,35.892,0.4487,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,298,393,-1.472,-7.183,-45.414,34.599,80.013,5.711,true,,relaxed_state_size_shell,170.326,71.142,2.3942,true,true,33.732,0.4216,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,300,394,20.296,-7.958,-45.411,34.588,79.999,28.254,true,,relaxed_state_size_shell,159.875,73.453,2.1766,true,true,36.125,0.4516,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,301,394,-1.267,-7.183,-45.414,34.599,80.013,5.916,true,,relaxed_state_size_shell,163.808,79.473,2.0612,true,true,33.449,0.4180,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,303,429,25.835,-7.183,-45.414,34.599,80.013,33.018,true,,relaxed_state_size_shell,198.122,86.017,2.3033,true,true,29.644,0.3705,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,305,438,30.695,-7.183,-45.414,34.599,80.013,37.878,true,,relaxed_state_size_shell,179.847,79.380,2.2656,true,true,28.481,0.3560,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,307,442,32.153,27.680,17.828,34.573,16.745,4.473,true,,relaxed_state_size_shell,161.362,80.270,2.0102,true,true,28.047,1.6749,posthoc_size_shell_not_narrow_or_no_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,309,0,10.006,9.163,-35.584,37.564,73.148,0.843,true,,relaxed_state_size_shell,145.813,64.500,2.2607,true,true,90.171,1.2327,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,311,4,13.711,9.163,-35.584,37.564,73.148,4.548,true,,relaxed_state_size_shell,149.373,65.033,2.2969,true,true,88.511,1.2100,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,314,8,17.501,9.163,-35.584,37.564,73.148,8.338,true,,relaxed_state_size_shell,146.206,70.677,2.0687,true,true,87.065,1.1903,posthoc_size_shell_not_narrow_or_no_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
