experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,persistent_hypothesis_id,parent_hypothesis_ids,branch_status,association_event,support_frames,assembly_id,hypothesis_region,hypothesis_centroid,hypothesis_azimuth,hypothesis_radial,velocity_px,area_ratio_vs_source,single_search_ratio,total_hypothesis_area,total_search_area,total_search_ratio,hypothesis_count,hypothesis_budget_exceeded,notes
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,33,ADJ_0205_TO_0206_c1c_33_02,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_33_a003,"1226.000,1181.000,1250.000,1213.000","1235.000,1193.833",30.7019,159.070114,"117.764,-11.592",0.068245,0.015151,3648,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,33,ADJ_0205_TO_0206_c1c_33_03,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_33_a004,"1010.000,1221.000,1066.000,1245.000","1048.846,1231.141",-46.432022,144.911499,"-68.390,25.716",0.119428,0.015151,3648,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,33,ADJ_0205_TO_0206_c1c_33_04,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_33_a005,"1074.000,1221.000,1090.000,1237.000","1082.884,1228.000",-34.73489,124.888138,"-34.352,22.574",0.022748,0.015151,3648,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,34,ADJ_0205_TO_0206_c1c_34_01,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_34_a001,"1018.000,1141.000,1042.000,1157.000","1027.368,1150.447",-35.102787,220.251434,"-89.868,-54.978",0.034122,0.015151,4096,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,34,ADJ_0205_TO_0206_c1c_34_02,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_34_a002,"1042.000,1149.000,1106.000,1197.000","1084.537,1180.705",-24.818739,165.658005,"-32.699,-24.720",0.272978,0.015151,4096,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,34,ADJ_0205_TO_0206_c1c_34_03,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_34_a003,"1234.000,1173.000,1250.000,1213.000","1239.625,1191.667",31.716864,163.32785,"122.389,-13.759",0.05687,0.015151,4096,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,35,ADJ_0205_TO_0206_c1c_35_01,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_35_a001,"1018.000,1141.000,1050.000,1157.000","1032.981,1149.537",-33.757671,217.853409,"-84.255,-55.888",0.045496,0.015151,3200,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,35,ADJ_0205_TO_0206_c1c_35_02,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_35_a002,"1090.000,1133.000,1138.000,1157.000","1115.702,1141.060",-11.428411,193.437332,"-1.534,-64.366",0.102367,0.015151,3200,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,35,ADJ_0205_TO_0206_c1c_35_03,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_35_a005,"1026.000,1213.000,1074.000,1245.000","1057.265,1229.073",-43.400696,140.474487,"-59.971,23.647",0.136489,0.015151,3200,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,36,ADJ_0205_TO_0206_c1c_36_01,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,branch_continue,2,C1C_ADJ_0205_TO_0206_36_a002,"1026.000,1133.000,1082.000,1189.000","1053.150,1157.681",-30.226864,200.395471,"-64.086,-47.744",0.278665,0.015151,3136,39822.8328,0.015151,1,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,37,ADJ_0205_TO_0206_c1c_37_01,ADJ_0205_TO_0206_c1c_36_01,candidate_compact_branch,ambiguous_parallel_branch,3,C1C_ADJ_0205_TO_0206_37_a001,"1050.000,1038.000,1129.000,1086.000","1093.484,1047.004",-11.995634,290.467892,"40.334,-110.678",0.336958,0.015151,15816,39822.8328,0.015151,2,false,
