pair_id,scene,optical_frame,thread_id,bbox_center_x,bbox_center_y,bbox_bottom_center_x,bbox_bottom_center_y,bbox_width,bbox_height,bbox_area,normalized_center_x,normalized_bottom_y,edge_contact_left,edge_contact_right,edge_contact_bottom,occlusion_state,partial_vehicle_state,multi_box_competition,visible_unboxed_gap,depth_center,depth_q10,depth_q25,depth_q50,depth_q75,depth_q90,depth_valid_ratio,depth_D0,depth_D1,depth_D2,depth_D3,depth_D4,optical_velocity_x,optical_velocity_y,track_age,vehicle_class
WGV35A_PAIR_0125,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0008,669.139,341.173,669.139,395.103,261.151,107.86,28167.747,0.836424,0.658505,false,true,false,unknown,none,single_observation,unknown,7.337025,7.203472,7.259935,7.361385,7.597774,12.971295,1,7.361385,7.337025,7.29285,7.361385,7.39563,-0.002,-0.003,48,unknown_vehicle
WGV35A_PAIR_0126,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0010,390.29,334.8,390.29,384.274,232.812,98.947,23036.049,0.487863,0.640457,false,false,false,unknown,none,single_observation,unknown,9.208961,9.09179,9.155981,9.243769,9.46374,17.35758,1,9.243769,9.208961,9.178563,9.243769,9.405036,-0.003,-0.003,45,unknown_vehicle
WGV35A_PAIR_0127,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0012,204.781,347.443,204.781,379.753,174.639,64.619,11284.998,0.255976,0.632922,false,false,false,unknown,none,single_observation,unknown,10.861317,10.603695,10.758628,10.941871,11.159378,15.657812,1,10.941871,10.861317,10.846976,10.941871,10.958601,0.413,0.106,23,unknown_vehicle
WGV35A_PAIR_0128,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0008,681.411,338.35,681.411,392.958,236.361,109.216,25814.403,0.851764,0.65493,false,true,false,unknown,none,single_observation,unknown,7.39563,7.249284,7.314714,7.410432,7.770997,13.432222,1,7.410432,7.39563,7.354753,7.410432,7.337025,12.272,-2.823,49,unknown_vehicle
WGV35A_PAIR_0129,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0012,220.319,343.621,220.319,376.993,176.895,66.744,11806.68,0.275398,0.628322,false,false,false,unknown,none,single_observation,unknown,11.128239,10.91565,11.042779,11.190081,11.418828,17.144583,1,11.190081,11.128239,11.093504,11.190081,10.863455,15.538,-3.822,24,unknown_vehicle
WGV35A_PAIR_0130,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0010,409.376,331.879,409.376,381.047,230.655,98.337,22681.921,0.511721,0.635078,false,false,false,unknown,none,single_observation,unknown,9.405036,9.208753,9.310701,9.463117,9.674885,17.083416,1,9.463117,9.405036,9.349319,9.463117,9.208961,19.086,-2.921,46,unknown_vehicle
WGV35A_PAIR_0131,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0008,681.414,338.352,681.414,392.962,236.362,109.22,25815.458,0.851768,0.654937,false,true,false,unknown,none,single_observation,unknown,7.39563,7.249284,7.314714,7.410432,7.770997,13.432222,1,7.410432,7.39563,7.354753,7.410432,7.337025,0.003,0.002,50,unknown_vehicle
WGV35A_PAIR_0132,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0012,220.317,343.621,220.317,376.993,176.905,66.743,11807.17,0.275397,0.628322,false,false,false,unknown,none,single_observation,unknown,11.128239,10.91565,11.042779,11.190081,11.418828,17.144583,1,11.190081,11.128239,11.093504,11.190081,10.861317,-0.002,0,25,unknown_vehicle
WGV35A_PAIR_0133,GM_RM017,177,oty1t_obj_GM_RM017_bytetrack_bt_0010,409.377,331.877,409.377,381.043,230.658,98.332,22681.062,0.511721,0.635072,false,false,false,unknown,none,single_observation,unknown,9.405036,9.208753,9.310701,9.463117,9.674885,17.083416,1,9.463117,9.405036,9.349319,9.463117,9.208961,0.001,-0.002,47,unknown_vehicle
WGV35A_PAIR_0134,GM_RM017,178,oty1t_obj_GM_RM017_bytetrack_bt_0008,694.255,336.188,694.255,391.581,211.111,110.786,23388.143,0.867819,0.652635,false,true,false,unknown,none,single_observation,unknown,7.263086,7.083379,7.165258,7.291201,7.819144,15.123609,1,7.291201,7.263086,7.213001,7.291201,7.39563,12.841,-2.164,51,unknown_vehicle
WGV35A_PAIR_0135,GM_RM017,178,oty1t_obj_GM_RM017_bytetrack_bt_0010,429.62,330.423,429.62,380.552,235.331,100.259,23594.051,0.537024,0.634253,false,false,false,unknown,none,single_observation,unknown,9.090525,8.980962,9.041667,9.149374,9.399078,18.121039,1,9.149374,9.090525,9.071031,9.149374,9.185542,20.243,-1.454,48,unknown_vehicle
WGV35A_PAIR_0136,GM_RM017,178,oty1t_obj_GM_RM017_bytetrack_bt_0012,238.702,342.314,238.702,375.923,181.649,67.218,12210.082,0.298378,0.626538,false,false,false,unknown,none,single_observation,unknown,10.747393,10.547855,10.672128,10.841245,11.123492,17.425198,1,10.841245,10.747393,10.744154,10.841245,10.845673,18.385,-1.307,26,unknown_vehicle
WGV35A_PAIR_0137,GM_RM017,178,oty1t_obj_GM_RM017_bytetrack_bt_0008,694.253,336.188,694.253,391.582,211.117,110.787,23389.019,0.867816,0.652637,false,true,false,unknown,none,single_observation,unknown,7.263086,7.083379,7.165258,7.291201,7.819144,15.123609,1,7.291201,7.263086,7.213001,7.291201,7.39563,-0.002,0,52,unknown_vehicle
WGV35A_PAIR_0138,GM_RM017,178,oty1t_obj_GM_RM017_bytetrack_bt_0010,429.619,330.423,429.619,380.551,235.328,100.257,23593.279,0.537024,0.634252,false,false,false,unknown,none,single_observation,unknown,9.090525,8.980962,9.041667,9.149374,9.399078,18.121039,1,9.149374,9.090525,9.071031,9.149374,9.185542,-0.001,0,49,unknown_vehicle
