pair_plan_id,pair_type,frame_a,frame_b,aspect_difference_deg,range_difference_m,time_difference_frames,energy_centroid_difference_m,peak_position_difference_m,support_width_difference_m,near_far_ratio_difference,component_layout_difference_deg,response_structure_distance,pair_result_scope
E0R3_PAIR_0070,time_distant_control,317,340,17.110141,2.808928,23,0.199123,1.124953,1.787817,0.035904,8.992081,0.663199,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0071,time_distant_control,317,341,17.162072,2.731447,24,0.155971,0.625003,1.737808,0.037128,6.110059,0.567185,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0072,time_distant_control,317,342,18.562526,2.827901,25,0.165585,0.255185,0.849629,0.105029,1.130268,0.242093,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0073,time_distant_control,317,343,19.1407,2.931056,26,0.208913,0.341104,1.160672,0.091249,1.714938,0.329925,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0074,time_distant_control,317,344,20.107994,3.018674,27,0.237486,0.342852,1.28037,0.12989,1.721708,0.372457,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0075,time_distant_control,317,345,20.806263,3.035978,28,0.26395,0.245729,0.699826,0.137678,1.868605,0.224221,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0076,time_distant_control,317,346,21.944988,3.147855,29,0.225273,0.329584,0.822134,0.143143,1.936797,0.25558,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0077,time_distant_control,317,347,23.458112,3.229912,30,0.161727,0.423616,0.626432,0.122109,1.477178,0.246284,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0078,time_distant_control,317,348,23.593798,3.363156,31,0.102437,0.318505,0.486851,0.154084,2.176507,0.214028,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0079,time_distant_control,317,349,24.087808,3.456722,32,0.145183,0.343939,0.507948,0.15654,0.980374,0.214512,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0080,time_distant_control,317,350,25.696416,3.48291,33,0.216913,0.81768,1.848588,0.043136,57.187258,0.783285,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0081,time_distant_control,317,351,24.944965,3.488317,34,0.236845,0.869478,1.744627,0.035741,66.986688,0.822866,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0082,time_distant_control,317,352,25.712012,3.727818,35,0.247508,2.2935,1.862114,0.029042,89.746095,1.216363,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0083,time_distant_control,317,353,26.215432,3.713399,36,0.185774,0.419786,0.666516,0.182161,2.551485,0.25481,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0084,time_distant_control,317,354,27.333206,3.793822,37,0.094781,0.463961,0.651205,0.149114,2.585135,0.256242,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0085,time_distant_control,317,355,29.163431,3.759356,38,0.149869,0.473493,0.681028,0.156642,3.154003,0.276212,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0086,time_distant_control,317,356,30.656974,3.819985,39,0.117008,0.55639,0.793778,0.169077,2.39475,0.301095,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0087,time_distant_control,317,357,32.902703,3.839518,40,1.072699,3.850157,0.765129,0.184291,2.495265,1.431618,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0088,time_distant_control,317,358,33.634498,3.985909,41,1.037954,3.733126,0.834435,0.174188,2.470354,1.389522,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0089,time_distant_control,317,359,33.996366,4.000178,42,1.075816,3.794199,0.894191,0.188356,2.806212,1.415366,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0090,time_distant_control,317,360,35.868228,3.994704,43,1.029826,1.816459,0.930043,0.230322,2.642438,0.781024,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0091,time_distant_control,317,361,37.172177,4.055073,44,0.963946,1.770109,1.07077,0.212088,1.998843,0.765295,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0092,time_distant_control,317,362,37.325493,4.062984,45,1.02137,1.845889,1.062705,0.210075,2.435895,0.796136,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0093,time_distant_control,317,363,39.248653,4.037686,46,0.990003,3.005647,1.347616,0.236552,3.212538,1.172134,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0094,time_distant_control,317,364,40.190177,4.1133,47,0.994947,3.047878,1.578179,0.321902,6.110059,1.210278,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0095,time_distant_control,317,365,39.715571,4.139619,48,0.292756,1.748776,1.666402,0.310937,1.818023,0.772276,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0096,time_distant_control,317,366,42.107913,4.177683,49,0.410169,1.984371,2.055369,0.294073,1.276882,0.913474,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0097,time_distant_control,317,367,41.265432,4.224803,50,0.361569,2.012681,1.682757,0.297444,2.493647,0.853511,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0098,time_distant_control,317,368,41.943543,4.216166,51,0.443363,2.343448,2.514229,0.199481,85.944257,1.30731,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0099,time_distant_control,317,369,41.855167,4.195755,52,0.453493,2.116315,2.436135,0.180649,87.04412,1.244554,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0100,time_distant_control,317,370,42.764932,4.258079,53,0.537355,2.54838,1.541259,0.278986,9.472837,1.010535,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0101,time_distant_control,317,371,43.020408,4.252876,54,0.511823,2.397737,1.49412,0.286145,3.18992,0.955917,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0102,time_distant_control,317,372,45.380729,4.177334,55,0.696061,3.02096,1.325328,0.24639,4.543646,1.150283,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0103,time_distant_control,317,373,44.274225,4.228901,56,0.77556,2.990409,1.365181,0.286355,3.690645,1.151576,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0104,time_distant_control,317,374,42.49967,4.235093,57,0.85497,3.285655,1.212504,0.263677,3.898022,1.242084,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0105,time_distant_control,317,375,41.891,4.31559,58,0.702903,3.180774,1.964783,0.114182,78.221455,1.42381,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0106,time_distant_control,317,376,42.140989,4.278092,59,0.684871,3.236644,1.966632,0.108377,7.541306,1.301629,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0107,time_distant_control,317,377,38.264888,4.171149,60,0.733598,2.854197,1.817292,0.0438,60.129421,1.27573,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0108,time_distant_control,317,378,38.718053,4.237014,61,0.661016,3.1696,1.767565,0.026942,83.592826,1.430479,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0109,time_distant_control,317,379,36.450117,4.092905,62,0.737642,1.775885,1.782354,0.034426,54.0998,0.97175,posthoc_structural_comparison_no_selector_no_ranking
