experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,target_pair_id,sar_frame,prior_region,prediction_region,search_window,component_count_raw,component_count_after_gate,selected_component_id,selection_status,distance_to_prediction,area_change_ratio,intensity_change,overlap_with_previous,motion_direction_consistent,depth_trend_consistent,optical_constraint_used,optical_state_frame,optical_velocity_x,optical_depth_velocity,response_switch_event,stop_reason,image_path_loaded,forbidden_fields_asserted
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,38,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,39,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,40,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,41,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,42,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,43,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,44,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,45,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,46,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,47,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
