atom_id,sar_frame,candidate_role,graph_role_class,role_rule_provenance,role_inputs
R21A00163,280,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=21;peak=90;axis1=13.727509;axis2=7.280323;orientation=40.125773
R21A00164,281,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1221;peak=143;axis1=164.898218;axis2=98.995773;orientation=9.741333
R21A00165,281,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=266;peak=150;axis1=53.927879;axis2=30.746241;orientation=2.928611
R21A00166,281,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=51;peak=83;axis1=27.34347;axis2=6.011147;orientation=88.935188
R21A00167,281,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=32;peak=87;axis1=36.946882;axis2=13.031929;orientation=-7.815941
R21A00168,284,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1290;peak=142;axis1=172.521454;axis2=94.036516;orientation=8.406532
R21A00169,284,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=213;peak=136;axis1=54.575645;axis2=41.527702;orientation=-13.278449
R21A00170,284,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=21;peak=72;axis1=14.87878;axis2=2.710297;orientation=83.446893
R21A00171,284,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=69;axis1=6.02738;axis2=3.632423;orientation=-62.944321
R21A00172,284,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=14;peak=71;axis1=6.226494;axis2=3.023716;orientation=60.642246
R21A00173,288,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1110;peak=137;axis1=155.260747;axis2=78.783303;orientation=14.250924
R21A00174,288,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=168;peak=101;axis1=36.724321;axis2=13.60907;orientation=73.131529
R21A00175,288,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=33;peak=79;axis1=12.031547;axis2=5.918593;orientation=-1.654426
R21A00176,288,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=22;peak=61;axis1=34.148758;axis2=16.39425;orientation=-3.756554
R21A00177,289,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1184;peak=104;axis1=156.311168;axis2=81.842895;orientation=13.692439
R21A00178,289,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=170;peak=89;axis1=24.60178;axis2=13.860993;orientation=70.238929
R21A00179,289,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=48;peak=54;axis1=59.765209;axis2=21.43916;orientation=-0.415737
R21A00180,289,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=21;peak=60;axis1=6.515021;axis2=5.323105;orientation=-41.74449
R21A00181,289,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=16;peak=62;axis1=33.413329;axis2=6.214185;orientation=-12.61999
R21A00182,290,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1251;peak=95;axis1=159.897713;axis2=80.768374;orientation=9.611625
R21A00183,290,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=161;peak=82;axis1=33.131003;axis2=23.688794;orientation=75.825969
R21A00184,290,side_ridge_candidate,core_member_candidate,elongated_non_arc_side_ridge,area=79;peak=52;axis1=58.614446;axis2=24.503114;orientation=-6.991867
