sar_frame,min,max,mean,std,p50,p90,p95,p99,nonzero_ratio,saturated_255_ratio,unique_value_count,color_luma_sampled,color_luma_max,color_luma_mean,color_luma_p99
150,0,250,27.67905389,23.62886742,38,53,57,69,0.60633602,0,176,true,255,138.41387528,253
151,0,248,28.13804829,23.94500339,39,54,58,71,0.60644905,0,179,false,,,
152,0,255,31.16642556,26.61580689,43,60,64,79,0.60647633,0.0000003248,197,false,,,
153,0,255,26.10473056,22.24236078,36,50,53,66,0.60643898,0.0000003248,167,false,,,
154,0,255,27.19552031,23.21412732,37,52,55,68,0.60638442,0.0000003248,174,false,,,
155,0,255,31.6248048,26.94428435,44,60,65,80,0.60693429,0.0000003248,199,false,,,
156,0,251,31.39778204,26.8081607,43,60,64,80,0.60667413,0,194,false,,,
157,0,252,28.74948845,24.49510032,39,55,59,73,0.60670271,0,175,false,,,
158,0,253,29.29184357,25.00732914,40,57,60,74,0.60651174,0,175,false,,,
159,0,249,29.49946929,25.11115465,40,57,60,74,0.60669654,0,178,false,,,
160,0,255,32.93767912,28.10775297,45,64,67,83,0.60677774,0.0000003248,196,false,,,
161,0,255,32.44934573,27.625205,45,62,66,81,0.60686056,0.0000003248,198,false,,,
162,0,255,30.88971935,26.37219697,43,59,64,79,0.60662671,0.0000003248,189,false,,,
163,0,253,29.7104118,25.29900218,40,57,61,75,0.60679301,0,187,false,,,
164,0,251,30.72190107,26.22154062,41,59,62,78,0.60662444,0,188,false,,,
165,0,248,35.47997221,30.19937116,48,68,73,90,0.60713339,0,205,false,,,
166,0,249,32.86187376,28.02204664,45,64,67,83,0.60691156,0,196,false,,,
167,0,250,32.77334134,27.88212359,45,62,67,82,0.60711098,0,196,false,,,
168,0,252,32.51419968,27.72934649,44,62,66,82,0.60692682,0,199,false,,,
169,0,248,31.65008938,26.92389808,44,60,65,80,0.60702134,0,194,false,,,
170,0,255,30.91421631,26.37201891,43,59,64,79,0.60685862,0.0000003248,189,false,,,
171,0,252,31.56804213,26.84952657,44,60,65,80,0.60703368,0,194,false,,,
172,0,250,32.1726064,27.4490603,44,62,66,81,0.60693494,0,189,false,,,
173,0,255,33.95141273,28.89713455,46,65,69,86,0.60721751,0.0000003248,199,false,,,
174,0,252,28.82566992,24.56236269,39,55,59,73,0.60687615,0,174,false,,,
175,0,255,31.38237803,26.69526573,43,60,64,79,0.60708954,0.0000003248,186,true,255,147.02209868,253
176,0,250,31.71542468,27.05331976,44,61,65,80,0.60700867,0,191,false,,,
177,0,255,31.55398178,26.82923429,44,60,65,80,0.60718179,0.0000003248,194,false,,,
178,0,255,33.20864492,28.31575127,45,64,68,85,0.60706551,0.0000003248,198,false,,,
179,0,252,33.22164546,28.26182336,45,64,68,85,0.60713437,0,198,false,,,
180,0,250,32.373301,27.61754473,44,62,66,82,0.60698821,0,196,false,,,
181,0,251,29.00822542,24.68418124,40,55,59,74,0.60705447,0,180,false,,,
182,0,252,28.20905513,24.05989247,39,54,58,72,0.60690344,0,173,false,,,
183,0,249,32.33089229,27.46042641,45,61,66,82,0.60746013,0,194,false,,,
184,0,252,33.5674942,28.61758658,46,65,68,86,0.60728669,0,197,false,,,
185,0,251,31.18812344,26.50342392,43,59,64,80,0.60730391,0,189,false,,,
186,0,250,29.52652627,25.16754881,40,57,60,75,0.60715255,0,181,false,,,
187,0,255,29.17289124,24.79430334,40,55,60,74,0.6072435,0.0000003248,179,false,,,
188,0,250,31.37732877,26.7466451,43,60,65,80,0.60718536,0,184,false,,,
189,0,251,33.71149012,28.66604242,46,65,69,86,0.60739355,0,189,false,,,
190,0,250,34.75160643,29.62788242,47,67,72,88,0.60729059,0,200,false,,,
191,0,248,33.60148067,28.54523817,46,65,68,85,0.60734288,0,196,false,,,
192,0,250,34.85399036,29.68557405,47,67,72,88,0.60725681,0,200,false,,,
193,0,252,34.12935712,29.02291035,47,65,69,87,0.60742766,0,188,false,,,
194,0,253,32.51944478,27.72131892,44,62,67,82,0.60715775,0,189,false,,,
195,0,253,29.32046412,24.87882877,40,55,60,74,0.60721979,0,169,false,,,
196,0,244,28.35434763,24.12904231,39,54,58,72,0.60713794,0,165,false,,,
197,0,255,29.37551285,24.9288618,40,57,60,74,0.60731138,0.0000003248,169,false,,,
198,0,250,30.62864874,26.08358207,41,59,62,78,0.60722986,0,176,false,,,
199,0,253,34.68559752,29.55195366,47,67,71,87,0.60737471,0,193,false,,,
200,0,252,35.36086171,30.16144387,48,68,73,89,0.60635583,0,198,true,255,156.34999636,253
201,0,253,30.05230617,25.88238681,40,59,62,80,0.60663808,0,195,false,,,
202,0,246,29.86918911,25.81224462,39,58,62,80,0.60646497,0,197,false,,,
203,0,250,30.27343943,26.07394145,40,59,64,81,0.60677644,0,195,false,,,
204,0,252,30.35698529,26.26115719,40,59,64,81,0.60663126,0,202,false,,,
205,0,253,34.07421582,28.96471378,47,65,69,86,0.60705447,0,193,false,,,
206,0,250,34.92997858,29.78680498,47,67,72,89,0.60690246,0,193,false,,,
207,0,249,35.81896032,30.47496398,48,68,73,90,0.60710773,0,195,false,,,
208,0,252,30.2153399,26.16852881,40,59,64,81,0.60677579,0,200,false,,,
209,0,248,35.78622625,30.4415303,48,68,73,90,0.60717919,0,199,false,,,
210,0,250,30.0794908,26.00662148,40,59,64,80,0.60689629,0,203,false,,,
211,0,255,33.72044534,28.6765394,46,65,69,86,0.60727598,0.0000003248,185,false,,,
212,0,251,31.0637097,26.86233583,41,61,66,82,0.60701419,0,201,false,,,
213,0,248,31.43848916,27.08352417,41,61,66,83,0.60717756,0,208,false,,,
214,0,252,31.50805945,27.24386708,41,61,66,83,0.60707493,0,205,false,,,
215,0,250,31.15056293,26.8481725,41,61,66,82,0.60721427,0,206,false,,,
216,0,253,30.63362816,26.49304133,40,60,65,82,0.60700672,0,203,false,,,
217,0,251,33.49936892,28.46960319,46,65,68,85,0.60733671,0,186,false,,,
218,0,252,32.6802972,27.838006,45,62,67,82,0.60713534,0,187,false,,,
219,0,253,32.25838814,27.36005765,45,61,66,81,0.60726234,0,185,false,,,
220,0,251,32.31106782,27.49892394,44,62,66,82,0.60705609,0,185,false,,,
221,0,250,30.3845915,26.17381686,40,59,64,81,0.6070837,0,201,false,,,
222,0,246,33.04391868,28.12735659,45,64,68,83,0.60711878,0,185,false,,,
223,0,250,35.90460467,30.52062926,50,69,74,90,0.60733249,0,203,false,,,
224,0,250,29.84787513,25.8157971,39,59,62,80,0.60693072,0,198,false,,,
225,0,255,32.71733447,27.75950324,45,62,67,82,0.60726461,0.0000003248,182,true,255,150.1909904,253
226,0,255,35.59815413,30.3033735,48,68,73,89,0.60728637,0.0000003248,198,false,,,
