subject_frame_id,subject_name,pair_id,sar_frame,split,source_region_id,posthoc_evaluation_label,subject_motion_model,persistent_subject_status,relative_aspect_angle_deg,aspect_angle_ci_width_deg,aspect_observability_status,absolute_range_m_grid,center_x,center_y,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio,counterfactual_role
fixed_strong_scatterer_sar000348,fixed_strong_scatterer,WGV35A_PAIR_0068,348,calibration,E0_R1_REG_000348_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,67.894003,0.692119,OBSERVABLE_HIGH,41.250734,1132.158395,1164.457828,532829,48.37743,0.980047,0.038769,0.038769,0,0.844333,2.342111,3.704441,4.274428,1.834921,0,0,5.335424,2.277334,-7.623529,1.244031,4.08443,6.55616,-171.825817,7.181851,74.33647,0.158812,2.359161,217,21.89133,0,532829,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000349,fixed_strong_scatterer,WGV35A_PAIR_0073,349,calibration,E0_R1_REG_000349_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,68.388013,0.481735,OBSERVABLE_HIGH,41.411156,1132.158395,1164.457828,539626,48.83493,0.982144,0.045973,0.045973,0,0.842579,2.225321,3.350896,4.132317,1.850881,0,0,5.206246,2.241102,-7.512981,1.169265,3.912468,6.51956,-169.472885,9.254704,71.983538,0.138617,2.36453,222,22.322775,0,539626,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000350,fixed_strong_scatterer,WGV35A_PAIR_0076,350,calibration,E0_R1_REG_000350_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,69.996621,0.440241,OBSERVABLE_HIGH,41.604931,1132.158395,1164.457828,530566,47.945599,0.987029,0.076993,0.076993,0,0.850504,4.088095,1.792545,4.230249,1.788297,0,0,5.302175,2.120655,-7.492979,1.001161,-7.492979,1.001161,77.404175,75.981421,5.106478,0.132175,2.552417,332,33.335341,0,530566,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000351,fixed_strong_scatterer,WGV35A_PAIR_0079,351,calibration,E0_R1_REG_000351_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,69.24517,0.343068,OBSERVABLE_HIGH,41.588453,1132.158395,1164.457828,538360,48.300735,0.982577,0.055266,0.055266,0,0.85866,3.446347,1.772255,4.092378,1.826983,0,0,5.156896,2.26457,-7.492606,1.026459,-7.492606,1.026459,78.48268,76.906861,4.027973,0.16431,2.293653,263,26.217676,0,538360,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000352,fixed_strong_scatterer,WGV35A_PAIR_0082,352,calibration,E0_R1_REG_000352_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,70.012217,0.587369,OBSERVABLE_HIGH,41.908645,1132.158395,1164.457828,535807,48.257858,0.977253,0.059173,0.059173,0,0.85168,3.622253,1.812795,4.073866,1.840679,0,0,5.198203,2.260147,-7.226213,0.931112,-7.226213,0.931112,73.367089,72.194281,9.143564,0.136944,2.314244,304,30.422208,0,535807,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000353,fixed_strong_scatterer,WGV35A_PAIR_0085,353,calibration,E0_R1_REG_000353_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,70.515637,1.002973,OBSERVABLE_HIGH,41.986263,1132.158395,1164.457828,528244,47.482605,0.968403,0.037933,0.037933,0,0.864255,2.260156,3.95766,4.390718,1.840844,0,0,5.60617,2.254214,-7.188673,0.894572,3.096396,6.549016,-172.207542,6.972156,74.718195,0.15756,2.514949,243,24.269663,0,528244,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000354,fixed_strong_scatterer,WGV35A_PAIR_0087,354,calibration,E0_R1_REG_000354_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,71.633411,1.219052,OBSERVABLE_HIGH,42.162424,1132.158395,1164.457828,511007,46.278481,0.961633,0.038308,0.038308,0,0.862613,2.287752,4.082993,4.356688,1.871767,0,0,5.422217,2.317185,-7.090807,0.778536,2.786938,6.566478,-175.092388,4.57654,77.603041,0.130342,2.369827,289,29.080883,0,511007,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000355,fixed_strong_scatterer,WGV35A_PAIR_0090,355,calibration,E0_R1_REG_000355_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,73.463636,1.10774,OBSERVABLE_HIGH,42.2242,1132.158395,1164.457828,545930,48.883415,0.954887,0.035279,0.035279,0,0.866129,2.15682,4.278178,4.25639,1.839743,0,0,5.221087,2.307135,-7.114194,0.712402,2.51589,6.692501,-177.35736,3.341476,79.868013,0.1624,2.277491,263,26.16603,0,545930,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000356,fixed_strong_scatterer,WGV35A_PAIR_0094,356,calibration,E0_R1_REG_000356_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,74.957179,0.997773,OBSERVABLE_HIGH,42.376628,1132.158395,1164.457828,501468,45.381718,0.951959,0.032489,0.032489,0,0.855979,2.102567,4.188193,4.241874,1.854706,0,0,5.356842,2.299856,-7.041755,0.626026,2.240336,6.705156,-178.985984,2.314947,81.496637,0.154892,2.336048,231,23.227753,0,501468,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000357,fixed_strong_scatterer,WGV35A_PAIR_0097,357,calibration,E0_R1_REG_000357_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,77.202908,0.969728,OBSERVABLE_HIGH,42.595317,1132.158395,1164.457828,516922,46.933174,0.94801,0.032776,0.032776,0,0.867185,2.127077,4.175654,4.248058,1.885335,0,0,5.579554,2.372387,-7.009717,0.484184,1.899848,6.764698,179.603835,0.860162,82.906818,0.15058,2.34967,214,21.588685,0,516922,0,persistent_world_fixed_strong_scatterer
