response_unit_id,sar_frame,threshold_setting,threshold_value,component_count,largest_component_pixels,core_component_persistent,principal_axis_angle_to_range_deg,range_p80_width_m,azimuth_p80_width_m,scale_yaw_feasible,threshold_stability_count,principal_axis_angle_std_deg,range_p80_width_std_m,azimuth_p80_width_std_m,scale_yaw_feasible_fraction
R21B00047,34,positive_weight_q70,16,630,1969,true,25.275434,2.426645,2.882825,true,3,3.521745,0.199856,0.130499,1
R21B00047,34,positive_weight_q85,23,358,883,true,24.747689,2.208054,2.673999,true,3,3.521745,0.199856,0.130499,1
R21B00048,39,positive_weight_q50,12,317,3117,true,2.183522,1.832061,1.508868,false,3,0.913635,0.111685,0.195283,0
R21B00048,39,positive_weight_q70,19,171,1882,true,0.153453,1.663644,1.29465,false,3,0.913635,0.111685,0.195283,0
R21B00048,39,positive_weight_q85,29,100,718,true,0.352772,1.56115,1.031363,false,3,0.913635,0.111685,0.195283,0
R21B00049,39,positive_weight_q50,14,20,214,true,49.212284,0.493334,0.588439,false,3,1.126586,0.042363,0.080303,0
R21B00049,39,positive_weight_q70,23,4,126,true,47.734206,0.432322,0.485243,false,3,1.126586,0.042363,0.080303,0
R21B00049,39,positive_weight_q85,34,8,36,true,46.455116,0.390138,0.391818,false,3,1.126586,0.042363,0.080303,0
R21B00050,39,positive_weight_q50,13,10,129,true,17.833994,0.22216,0.330012,false,3,5.564308,0.037375,0.061508,0
R21B00050,39,positive_weight_q70,22,8,72,true,29.551056,0.181312,0.297401,false,3,5.564308,0.037375,0.061508,0
R21B00050,39,positive_weight_q85,29.8,6,36,true,29.722424,0.130781,0.186321,false,3,5.564308,0.037375,0.061508,0
R21B00051,39,positive_weight_q50,13,15,227,true,33.820194,0.594933,0.451222,false,3,1.127397,0.005418,0.017925,0
R21B00051,39,positive_weight_q70,19,22,70,true,32.868452,0.608054,0.438102,false,3,1.127397,0.005418,0.017925,0
R21B00051,39,positive_weight_q85,27,16,33,true,31.099273,0.603215,0.408376,false,3,1.127397,0.005418,0.017925,0
R21B00052,39,positive_weight_q50,11,11,148,true,60.919553,0.30513,0.480147,false,3,0.745409,0.020878,0.029069,0
R21B00052,39,positive_weight_q70,17,9,72,true,61.77202,0.266773,0.42958,false,3,0.745409,0.020878,0.029069,0
R21B00052,39,positive_weight_q85,26.4,9,19,true,59.947455,0.256659,0.411449,false,3,0.745409,0.020878,0.029069,0
R21B00053,39,positive_weight_q50,11,432,3687,true,40.354058,1.955912,2.013455,false,3,8.746057,0.142309,0.215048,0
R21B00053,39,positive_weight_q70,18,236,2023,true,45.371667,1.79043,1.798034,false,3,8.746057,0.142309,0.215048,0
R21B00053,39,positive_weight_q85,28,116,768,true,60.900004,1.607475,1.48945,false,3,8.746057,0.142309,0.215048,0
