boundary_family_id,response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,member_boundary_relation
R21R11BF00122,R21B00174,R21B00174,R21R1F00116,270,strict_boundary_variant_member
R21R11BF00123,R21B00168,R21B00168,R21R1F00117,270,single_unit
R21R11BF00124,R21B00169,R21B00169,R21R1F00116,270,single_unit
R21R11BF00125,R21B00170,R21B00170,R21R1F00118,270,single_unit
R21R11BF00126,R21B00171,R21B00171,R21R1F00119,270,single_unit
R21R11BF00127,R21B00175,R21B00175,R21R1F00120,271,strict_boundary_variant_member
R21R11BF00127,R21B00179,R21B00179,R21R1F00120,271,strict_boundary_variant_member
R21R11BF00127,R21B00180,R21B00180,R21R1F00120,271,strict_boundary_variant_member
R21R11BF00127,R21B00182,R21B00182,R21R1F00120,271,strict_boundary_variant_member
R21R11BF00128,R21B00176,R21B00176,R21R1F00121,271,strict_boundary_variant_member
R21R11BF00128,R21B00181,R21B00181,R21R1F00121,271,strict_boundary_variant_member
R21R11BF00129,R21B00177,R21B00177,R21R1F00120,271,single_unit
R21R11BF00130,R21B00178,R21B00178,R21R1F00122,271,single_unit
R21R11BF00131,R21B00183,R21B00183,R21R1F00123,272,strict_boundary_variant_member
R21R11BF00131,R21B00189,R21B00189,R21R1F00123,272,strict_boundary_variant_member
R21R11BF00131,R21B00190,R21B00190,R21R1F00125,272,strict_boundary_variant_member
R21R11BF00132,R21B00184,R21B00184,R21R1F00124,272,single_unit
R21R11BF00133,R21B00185,R21B00185,R21R1F00125,272,single_unit
R21R11BF00134,R21B00186,R21B00186,R21R1F00126,272,single_unit
R21R11BF00135,R21B00187,R21B00187,R21R1F00127,272,single_unit
R21R11BF00136,R21B00188,R21B00188,R21R1F00128,272,single_unit
R21R11BF00137,R21B00191,R21B00191,R21R1F00129,273,strict_boundary_variant_member
R21R11BF00137,R21B00195,R21B00195,R21R1F00129,273,strict_boundary_variant_member
R21R11BF00138,R21B00192,R21B00192,R21R1F00129,273,single_unit
R21R11BF00139,R21B00193,R21B00193,R21R1F00130,273,single_unit
R21R11BF00140,R21B00194,R21B00194,R21R1F00131,273,single_unit
R21R11BF00141,R21B00196,R21B00196,R21R1F00132,276,strict_boundary_variant_member
R21R11BF00141,R21B00201,R21B00201,R21R1F00132,276,strict_boundary_variant_member
R21R11BF00141,R21B00202,R21B00202,R21R1F00132,276,strict_boundary_variant_member
R21R11BF00142,R21B00197,R21B00197,R21R1F00132,276,strict_boundary_variant_member
R21R11BF00142,R21B00203,R21B00203,R21R1F00132,276,strict_boundary_variant_member
R21R11BF00143,R21B00198,R21B00198,R21R1F00133,276,single_unit
R21R11BF00144,R21B00199,R21B00199,R21R1F00134,276,single_unit
R21R11BF00145,R21B00200,R21B00200,R21R1F00135,276,single_unit
R21R11BF00146,R21B00204,R21B00204,R21R1F00136,278,strict_boundary_variant_member
R21R11BF00146,R21B00207,R21B00207,R21R1F00136,278,strict_boundary_variant_member
R21R11BF00147,R21B00205,R21B00205,R21R1F00137,278,single_unit
R21R11BF00148,R21B00206,R21B00206,R21R1F00138,278,single_unit
R21R11BF00149,R21B00208,R21B00208,R21R1F00139,279,strict_boundary_variant_member
R21R11BF00149,R21B00212,R21B00212,R21R1F00139,279,strict_boundary_variant_member
R21R11BF00150,R21B00209,R21B00209,R21R1F00140,279,single_unit
R21R11BF00151,R21B00210,R21B00210,R21R1F00141,279,single_unit
R21R11BF00152,R21B00211,R21B00211,R21R1F00142,279,single_unit
R21R11BF00153,R21B00213,R21B00213,R21R1F00143,280,strict_boundary_variant_member
R21R11BF00153,R21B00216,R21B00216,R21R1F00143,280,strict_boundary_variant_member
R21R11BF00154,R21B00214,R21B00214,R21R1F00144,280,single_unit
R21R11BF00155,R21B00215,R21B00215,R21R1F00145,280,single_unit
R21R11BF00156,R21B00217,R21B00217,R21R1F00146,281,strict_boundary_variant_member
R21R11BF00156,R21B00221,R21B00221,R21R1F00146,281,strict_boundary_variant_member
R21R11BF00156,R21B00222,R21B00222,R21R1F00146,281,strict_boundary_variant_member
R21R11BF00156,R21B00224,R21B00224,R21R1F00146,281,strict_boundary_variant_member
R21R11BF00157,R21B00218,R21B00218,R21R1F00147,281,strict_boundary_variant_member
R21R11BF00157,R21B00223,R21B00223,R21R1F00147,281,strict_boundary_variant_member
R21R11BF00158,R21B00219,R21B00219,R21R1F00146,281,single_unit
R21R11BF00159,R21B00220,R21B00220,R21R1F00148,281,single_unit
R21R11BF00160,R21B00225,R21B00225,R21R1F00149,284,strict_boundary_variant_member
R21R11BF00160,R21B00230,R21B00230,R21R1F00149,284,strict_boundary_variant_member
R21R11BF00161,R21B00226,R21B00226,R21R1F00150,284,single_unit
R21R11BF00162,R21B00227,R21B00227,R21R1F00151,284,single_unit
R21R11BF00163,R21B00228,R21B00228,R21R1F00152,284,single_unit
R21R11BF00164,R21B00229,R21B00229,R21R1F00153,284,single_unit
R21R11BF00165,R21B00231,R21B00231,R21R1F00154,288,strict_boundary_variant_member
R21R11BF00165,R21B00235,R21B00235,R21R1F00154,288,strict_boundary_variant_member
R21R11BF00166,R21B00232,R21B00232,R21R1F00155,288,single_unit
R21R11BF00167,R21B00233,R21B00233,R21R1F00156,288,single_unit
R21R11BF00168,R21B00234,R21B00234,R21R1F00157,288,single_unit
R21R11BF00169,R21B00236,R21B00236,R21R1F00158,289,strict_boundary_variant_member
R21R11BF00169,R21B00241,R21B00241,R21R1F00158,289,strict_boundary_variant_member
R21R11BF00169,R21B00242,R21B00242,R21R1F00158,289,strict_boundary_variant_member
R21R11BF00170,R21B00237,R21B00237,R21R1F00159,289,strict_boundary_variant_member
R21R11BF00170,R21B00243,R21B00243,R21R1F00159,289,strict_boundary_variant_member
R21R11BF00171,R21B00238,R21B00238,R21R1F00160,289,single_unit
R21R11BF00172,R21B00239,R21B00239,R21R1F00161,289,single_unit
R21R11BF00173,R21B00240,R21B00240,R21R1F00162,289,single_unit
R21R11BF00174,R21B00244,R21B00244,R21R1F00163,290,strict_boundary_variant_member
R21R11BF00174,R21B00247,R21B00247,R21R1F00163,290,strict_boundary_variant_member
R21R11BF00174,R21B00248,R21B00248,R21R1F00163,290,strict_boundary_variant_member
R21R11BF00174,R21B00250,R21B00250,R21R1F00163,290,strict_boundary_variant_member
R21R11BF00175,R21B00245,R21B00245,R21R1F00164,290,strict_boundary_variant_member
R21R11BF00175,R21B00249,R21B00249,R21R1F00164,290,strict_boundary_variant_member
R21R11BF00176,R21B00246,R21B00246,R21R1F00165,290,single_unit
