response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00014,R21B00014,R21R1F00012,29,R21A00012,R21A00010;R21A00011,"1090,1131,1114,1149","1090,1131,1114,1149","1042,1131,1192,1245",local_response_unit_not_complete_vehicle
R21B00015,R21B00015,R21R1F00010,29,R21A00010;R21A00011,R21A00012,"1042,1131,1192,1245","1042,1131,1192,1245","1042,1131,1192,1245",local_response_unit_not_complete_vehicle
R21B00016,R21B00016,R21R1F00013,30,R21A00013,R21A00014;R21A00015;R21A00016;R21A00017,"1042,1131,1193,1197","1042,1131,1193,1197","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00017,R21B00017,R21R1F00014,30,R21A00014,R21A00013;R21A00015;R21A00016;R21A00017,"1096,1203,1162,1245","1096,1203,1162,1245","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00018,R21B00018,R21R1F00015,30,R21A00015,R21A00013;R21A00014;R21A00016;R21A00017,"1090,1131,1120,1149","1090,1131,1120,1149","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00019,R21B00019,R21R1F00016,30,R21A00016,R21A00013;R21A00014;R21A00015;R21A00017,"1066,1221,1084,1239","1066,1221,1084,1239","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00020,R21B00020,R21R1F00017,30,R21A00017,R21A00013;R21A00014;R21A00015;R21A00016,"1042,1221,1054,1239","1042,1221,1054,1239","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00021,R21B00021,R21R1F00013,30,R21A00013;R21A00014,R21A00015;R21A00016;R21A00017,"1042,1131,1193,1245","1042,1131,1193,1245","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00022,R21B00022,R21R1F00013,30,R21A00013;R21A00016,R21A00014;R21A00015;R21A00017,"1042,1131,1193,1239","1042,1131,1193,1239","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00023,R21B00023,R21R1F00014,30,R21A00014;R21A00016,R21A00013;R21A00015;R21A00017,"1066,1203,1162,1245","1066,1203,1162,1245","1042,1131,1193,1245",local_response_unit_not_complete_vehicle
R21B00024,R21B00024,R21R1F00018,31,R21A00018,R21A00019;R21A00020;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00025,R21B00025,R21R1F00018,31,R21A00019,R21A00018;R21A00020;R21A00021,"1090,1135,1114,1147","1090,1135,1114,1147","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00026,R21B00026,R21R1F00019,31,R21A00020,R21A00018;R21A00019;R21A00021,"1042,1225,1060,1243","1042,1225,1060,1243","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
R21B00027,R21B00027,R21R1F00020,31,R21A00021,R21A00018;R21A00019;R21A00020,"1066,1219,1084,1237","1066,1219,1084,1237","1042,1135,1193,1249",local_response_unit_not_complete_vehicle
