atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0096,212,1000.513812,1160.375691,-42.034588,229.64856,181,181,"957.000,1126.000,1017.000,1180.000",16232,89.679558,128,0.010652,61.296897,58.487557,1.048033,40.955051,0.055864,0,true,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0097,212,1057.429857,1178.483871,-32.671482,183.003418,1333,1333,"999.000,1126.000,1132.000,1240.000",126344,94.781695,164,0.082909,129.819275,108.696656,1.194326,-49.749024,0.087917,0.614671,true,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0098,212,1010.875,1225.03125,-53.618759,178.043732,32,32,"1005.000,1210.000,1023.000,1240.000",2817,88.03125,98,0.001849,35.496317,18.613087,1.907062,-74.38393,0.059259,0.537859,false,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0099,213,1001.533333,1141.716667,-38.901424,243.007263,60,60,"981.000,1126.000,1023.000,1156.000",5318,88.633333,108,0.003473,46.352764,32.870501,1.410163,-31.380366,0.047619,0.832664,true,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0100,213,1059.661516,1178.385578,-32.061756,181.79509,1359,1359,"993.000,1126.000,1132.000,1240.000",129354,95.183223,159,0.084474,128.905299,113.855468,1.132184,-59.573179,0.085763,0.382586,true,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0101,213,974.210526,1166.631579,-47.643993,243.436829,38,38,"963.000,1150.000,987.000,1180.000",3386,89.105263,103,0.002211,29.942149,19.966751,1.4996,-65.605775,0.052778,0.600652,false,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0102,213,1012.5,1227.5,-53.961681,175.292572,32,32,"1005.000,1210.000,1023.000,1246.000",2822,88.1875,103,0.001843,37.188248,16.671457,2.230654,-74.573196,0.049383,0.541087,false,83,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0103,216,1063.930836,1178.837896,-30.827343,179.264099,1388,1388,"975.000,1126.000,1131.000,1240.000",132476,95.443804,149,0.086773,128.260198,119.891116,1.069806,-42.705041,0.078048,0.73297,true,85,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0104,216,1024.948718,1227.641026,-51.42939,165.259766,39,39,"1017.000,1216.000,1035.000,1240.000",3533,90.589744,102,0.002314,30.506994,13.36948,2.281838,-59.450196,0.090278,0.821476,false,85,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0105,220,1077.924253,1173.739257,-26.111036,176.784637,1373,1373,"1011.000,1126.000,1132.000,1240.000",128959,93.924982,154,0.087944,125.092883,111.165525,1.125285,-74.814183,0.099536,0,true,82,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0106,220,1007.025641,1161.461538,-40.979259,224.134872,39,39,"993.000,1156.000,1017.000,1174.000",3352,85.948718,94,0.002286,22.844031,12.367589,1.847088,-14.431697,0.090278,0.409831,false,82,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0107,224,1081.653791,1175.399857,-25.139496,173.877365,1398,1398,"1005.000,1126.000,1132.000,1234.000",137838,98.596567,171,0.090266,127.762688,117.999424,1.08274,-81.282006,0.101925,0,true,87,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
