atom_id,sar_frame,candidate_role,graph_role_class,support_bbox,centroid_x,centroid_y,persistent_part_track_id
R21A00087,212,unresolved_atom,core_member_candidate,"957,1126,1132,1240",1053.580392,1176.91634,
R21A00088,212,endpoint_hotspot_candidate,core_member_candidate,"1005,1210,1023,1240",1011.027027,1225.189189,R21PT0010
R21A00089,213,unresolved_atom,core_member_candidate,"981,1126,1132,1240",1058.150259,1177.564119,
R21A00090,213,unresolved_atom,core_member_candidate,"963,1150,987,1180",974.690476,1166.119048,
R21A00091,213,endpoint_hotspot_candidate,core_member_candidate,"1005,1210,1023,1246",1013.487805,1225.536585,R21PT0010
R21A00092,216,unresolved_atom,core_member_candidate,"975,1126,1131,1240",1063.343688,1178.343688,
R21A00093,216,endpoint_hotspot_candidate,core_member_candidate,"1017,1216,1035,1240",1024.948718,1227.641026,R21PT0010
R21A00094,220,unresolved_atom,core_member_candidate,"1011,1126,1132,1240",1077.924253,1173.739257,R21PT0011
R21A00095,220,unresolved_atom,core_member_candidate,"993,1156,1017,1174",1007.025641,1161.461538,
R21A00096,224,unresolved_atom,core_member_candidate,"1005,1126,1132,1234",1081.619141,1174.722005,
R21A00097,224,endpoint_hotspot_candidate,core_member_candidate,"1041,1210,1065,1240",1054.5,1222.488636,R21PT0011
R21A00098,224,endpoint_hotspot_candidate,core_member_candidate,"1011,1228,1029,1240",1019.133333,1233.5,
R21A00099,227,unresolved_atom,core_member_candidate,"1017,1126,1132,1234",1088.712542,1176,
R21A00100,227,endpoint_hotspot_candidate,core_member_candidate,"1047,1204,1077,1240",1064.349057,1222.235849,R21PT0011
R21A00101,227,isolated_small_atom,optional_support_candidate,"1023,1228,1041,1240",1032.352941,1235.764706,
R21A00102,228,unresolved_atom,core_member_candidate,"1023,1126,1132,1240",1087.696151,1176.445645,R21PT0012
R21A00103,228,body_core_candidate,core_member_candidate,"1053,1204,1083,1240",1066.875,1223.183333,R21PT0011
R21A00104,228,isolated_small_atom,optional_support_candidate,"1023,1228,1041,1240",1034.882353,1235.235294,
R21A00105,238,body_core_candidate,core_member_candidate,"1051,1135,1177,1255",1121.425896,1194.355049,R21PT0012
R21A00106,238,isolated_small_atom,optional_support_candidate,"1063,1231,1075,1243",1065.954545,1235.363636,
R21A00107,239,body_core_candidate,core_member_candidate,"1051,1135,1177,1255",1123.707143,1194.21746,
R21A00108,239,body_core_candidate,core_member_candidate,"1087,1201,1111,1237",1100.576577,1224.081081,
R21A00109,239,isolated_small_atom,optional_support_candidate,"1063,1231,1075,1243",1069.4375,1236.0625,
R21A00110,243,body_core_candidate,core_member_candidate,"1063,1135,1195,1249",1130.987739,1195.259004,
R21A00111,243,isolated_small_atom,optional_support_candidate,"1075,1231,1087,1243",1080.125,1237.1875,
R21A00112,243,isolated_small_atom,optional_support_candidate,"1177,1165,1195,1177",1186.9375,1168.625,
R21A00113,250,body_core_candidate,core_member_candidate,"1099,1135,1201,1261",1146.0736,1205.9416,
R21A00114,250,isolated_small_atom,optional_support_candidate,"1183,1165,1201,1189",1193.222222,1178,
R21A00115,250,isolated_small_atom,optional_support_candidate,"1195,1135,1218,1153",1205.5,1143.666667,
R21A00116,259,body_core_candidate,core_member_candidate,"1069,1135,1189,1255",1145.516239,1192.748718,R21PT0013
R21A00117,259,body_core_candidate,core_member_candidate,"1189,1195,1218,1237",1199.8125,1219.035714,R21PT0014
R21A00118,259,side_ridge_candidate,core_member_candidate,"1189,1141,1218,1189",1200.472727,1168.272727,
R21A00119,260,unresolved_atom,core_member_candidate,"1075,1135,1218,1195",1146.530726,1165.079609,R21PT0013
R21A00120,260,body_core_candidate,core_member_candidate,"1117,1201,1189,1255",1154.596983,1232.015086,
R21A00121,260,endpoint_hotspot_candidate,core_member_candidate,"1195,1201,1218,1237",1203.302083,1219.114583,R21PT0014
R21A00122,262,body_core_candidate,core_member_candidate,"1075,1135,1218,1267",1159.557119,1195.317053,R21PT0013
R21A00123,263,body_core_candidate,core_member_candidate,"1069,1135,1218,1261",1161.208399,1195.664818,R21PT0015
R21A00124,269,unresolved_atom,core_member_candidate,"1107,1138,1245,1246",1179.347211,1191.801257,R21PT0015
R21A00125,269,body_core_candidate,core_member_candidate,"1143,1204,1185,1258",1161.496212,1236.151515,R21PT0016
R21A00126,269,endpoint_hotspot_candidate,core_member_candidate,"1227,1192,1245,1240",1234.738095,1220.630952,R21PT0017
R21A00127,269,isolated_small_atom,optional_support_candidate,"1251,1174,1263,1186",1256.62963,1179.962963,
R21A00128,269,isolated_small_atom,optional_support_candidate,"1263,1138,1281,1150",1268.619048,1142.666667,
R21A00129,269,isolated_small_atom,optional_support_candidate,"1245,1138,1257,1156",1250.888889,1147.222222,
R21A00130,270,unresolved_atom,core_member_candidate,"1107,1138,1263,1240",1186.235791,1189.069892,R21PT0016
R21A00131,270,body_core_candidate,core_member_candidate,"1137,1204,1185,1258",1163.462406,1236.026316,R21PT0015
R21A00132,270,endpoint_hotspot_candidate,core_member_candidate,"1233,1192,1245,1234",1238.336735,1219.632653,R21PT0017
R21A00133,270,unresolved_atom,core_member_candidate,"1245,1162,1275,1186",1259.295455,1178.431818,
R21A00134,270,isolated_small_atom,optional_support_candidate,"1269,1138,1287,1150",1272.681818,1141.818182,
R21A00135,271,unresolved_atom,core_member_candidate,"1107,1138,1287,1240",1190.737605,1189.673532,R21PT0015
R21A00136,271,body_core_candidate,core_member_candidate,"1143,1210,1197,1252",1166.404412,1235.665441,R21PT0016
R21A00137,271,endpoint_hotspot_candidate,core_member_candidate,"1233,1198,1251,1240",1241.714286,1218.755102,R21PT0017
R21A00138,271,isolated_small_atom,optional_support_candidate,"1245,1174,1275,1192",1264.206897,1180.896552,
R21A00139,272,unresolved_atom,core_member_candidate,"1107,1138,1251,1240",1190.650897,1191.563622,R21PT0016
R21A00140,272,body_core_candidate,core_member_candidate,"1143,1210,1197,1270",1170.65493,1236.489437,R21PT0015
R21A00141,272,endpoint_hotspot_candidate,core_member_candidate,"1239,1198,1257,1240",1245.57,1220.24,R21PT0017
R21A00142,272,isolated_small_atom,optional_support_candidate,"1257,1168,1281,1192",1270.612903,1180.322581,
