pair_plan_id,pair_type,physical_vehicle_id,frame_a,frame_b,split_a,split_b,aspect_difference_deg,range_difference_m,time_difference_frames,aspect_same_threshold_deg,aspect_different_threshold_deg,similar_range_threshold_m,minimum_time_separation_frames,pair_selection_basis,response_fields_reserved_for_evaluate
E0R3_PAIR_0027,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,357,calibration,calibration,31.356112,3.968808,42,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0028,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,358,calibration,calibration,32.087907,4.115199,43,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0029,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,359,calibration,calibration,32.449775,4.129468,44,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0030,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,360,calibration,calibration,34.321637,4.123994,45,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0031,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,361,calibration,guard,35.625586,4.184363,46,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0032,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,362,calibration,guard,35.778902,4.192274,47,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0033,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,363,calibration,guard,37.702062,4.166976,48,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0034,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,364,calibration,guard,38.643586,4.24259,49,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0035,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,365,calibration,guard,38.16898,4.268909,50,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0036,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,366,calibration,guard,40.561322,4.306973,51,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0037,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,367,calibration,guard,39.718841,4.354093,52,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0038,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,368,calibration,guard,40.396952,4.345456,53,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0039,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,369,calibration,guard,40.308576,4.325045,54,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0040,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,370,calibration,guard,41.218341,4.387369,55,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0041,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,371,calibration,posthoc_diagnosis,41.473817,4.382166,56,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0042,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,372,calibration,posthoc_diagnosis,43.834138,4.306624,57,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0043,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,373,calibration,posthoc_diagnosis,42.727634,4.358191,58,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0044,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,374,calibration,posthoc_diagnosis,40.953079,4.364383,59,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
