source_family_id,target_family_id,source_frame,target_frame,source_geometry_type,target_geometry_type,center_shift_min_px,center_shift_max_px,bbox_iou_min,bbox_iou_max,shared_core_track_ids,temporal_edge_state,geometry_uncertainty
R21R1F00005,R21R1F00007,27,28,single_conservative_bbox,single_conservative_bbox,87.464278,87.464278,0,0,,single_geometry_possible_correspondence,false
R21R1F00005,R21R1F00008,27,28,single_conservative_bbox,single_conservative_bbox,107.415083,107.415083,0,0,,single_geometry_possible_correspondence,false
R21R1F00005,R21R1F00009,27,28,single_conservative_bbox,single_conservative_bbox,92.417531,92.417531,0,0,,single_geometry_possible_correspondence,false
R21R1F00006,R21R1F00010,28,29,common_core_bbox,common_core_bbox,4.242641,4.242641,0.88141,0.88141,R21PT0001;R21PT0002,shared_core_track_diagnostic,true
R21R1F00006,R21R1F00011,28,29,common_core_bbox,single_conservative_bbox,58.249464,58.249464,0,0,R21PT0002,shared_core_track_diagnostic,true
R21R1F00006,R21R1F00012,28,29,common_core_bbox,single_conservative_bbox,29.546573,29.546573,0.038462,0.038462,,single_geometry_possible_correspondence,true
R21R1F00007,R21R1F00010,28,29,single_conservative_bbox,common_core_bbox,54.332311,54.332311,0,0,R21PT0001,shared_core_track_diagnostic,true
R21R1F00007,R21R1F00011,28,29,single_conservative_bbox,single_conservative_bbox,6.708204,6.708204,0.642857,0.642857,,single_geometry_possible_correspondence,false
R21R1F00007,R21R1F00012,28,29,single_conservative_bbox,single_conservative_bbox,80.777472,80.777472,0,0,,single_geometry_possible_correspondence,false
R21R1F00008,R21R1F00010,28,29,single_conservative_bbox,common_core_bbox,30,30,0.054545,0.054545,,single_geometry_possible_correspondence,true
R21R1F00008,R21R1F00011,28,29,single_conservative_bbox,single_conservative_bbox,88.232647,88.232647,0,0,,single_geometry_possible_correspondence,false
R21R1F00008,R21R1F00012,28,29,single_conservative_bbox,single_conservative_bbox,3,3,0.8,0.8,,single_geometry_possible_correspondence,false
R21R1F00009,R21R1F00010,28,29,single_conservative_bbox,common_core_bbox,105.513032,105.513032,0,0,,single_geometry_possible_correspondence,true
R21R1F00009,R21R1F00011,28,29,single_conservative_bbox,single_conservative_bbox,141.031911,141.031911,0,0,,single_geometry_possible_correspondence,false
R21R1F00009,R21R1F00012,28,29,single_conservative_bbox,single_conservative_bbox,87.051709,87.051709,0,0,,single_geometry_possible_correspondence,false
R21R1F00010,R21R1F00013,29,30,common_core_bbox,common_core_bbox,0.5,0.5,0.993377,0.993377,R21PT0001;R21PT0002,shared_core_track_diagnostic,true
R21R1F00010,R21R1F00014,29,30,common_core_bbox,common_core_bbox,61.188234,61.188234,0,0,R21PT0001,shared_core_track_diagnostic,true
R21R1F00010,R21R1F00015,29,30,common_core_bbox,single_conservative_bbox,26.832816,26.832816,0.054545,0.054545,,single_geometry_possible_correspondence,true
R21R1F00010,R21R1F00016,29,30,common_core_bbox,single_conservative_bbox,78.230429,78.230429,0,0,,single_geometry_possible_correspondence,true
R21R1F00010,R21R1F00017,29,30,common_core_bbox,single_conservative_bbox,95.482983,95.482983,0,0,,single_geometry_possible_correspondence,true
R21R1F00011,R21R1F00013,29,30,single_conservative_bbox,common_core_bbox,60.599092,60.599092,0,0,R21PT0002,shared_core_track_diagnostic,true
R21R1F00011,R21R1F00014,29,30,single_conservative_bbox,common_core_bbox,3,3,0.909091,0.909091,,single_geometry_possible_correspondence,true
R21R1F00011,R21R1F00015,29,30,single_conservative_bbox,single_conservative_bbox,86.585218,86.585218,0,0,,single_geometry_possible_correspondence,false
R21R1F00011,R21R1F00016,29,30,single_conservative_bbox,single_conservative_bbox,51.351728,51.351728,0,0,,single_geometry_possible_correspondence,false
R21R1F00011,R21R1F00017,29,30,single_conservative_bbox,single_conservative_bbox,78.230429,78.230429,0,0,,single_geometry_possible_correspondence,false
R21R1F00012,R21R1F00013,29,30,single_conservative_bbox,common_core_bbox,28.570089,28.570089,0.043347,0.043347,,single_geometry_possible_correspondence,true
R21R1F00012,R21R1F00014,29,30,single_conservative_bbox,common_core_bbox,88.232647,88.232647,0,0,,single_geometry_possible_correspondence,true
R21R1F00012,R21R1F00015,29,30,single_conservative_bbox,single_conservative_bbox,3,3,0.8,0.8,,single_geometry_possible_correspondence,false
R21R1F00012,R21R1F00016,29,30,single_conservative_bbox,single_conservative_bbox,93.962759,93.962759,0,0,,single_geometry_possible_correspondence,false
R21R1F00012,R21R1F00017,29,30,single_conservative_bbox,single_conservative_bbox,104.957134,104.957134,0,0,,single_geometry_possible_correspondence,false
R21R1F00013,R21R1F00018,30,31,common_core_bbox,common_core_bbox,27.735356,27.735356,0.028898,0.028898,R21PT0002;R21PT0003,shared_core_track_diagnostic,true
R21R1F00013,R21R1F00019,30,31,common_core_bbox,single_conservative_bbox,96.5518,96.5518,0,0,,single_geometry_possible_correspondence,true
R21R1F00013,R21R1F00020,30,31,common_core_bbox,single_conservative_bbox,76.826102,76.826102,0,0,R21PT0003,shared_core_track_diagnostic,true
R21R1F00014,R21R1F00018,30,31,common_core_bbox,common_core_bbox,87.281155,87.281155,0,0,R21PT0003,shared_core_track_diagnostic,true
R21R1F00014,R21R1F00019,30,31,common_core_bbox,single_conservative_bbox,78.638413,78.638413,0,0,,single_geometry_possible_correspondence,true
R21R1F00014,R21R1F00020,30,31,common_core_bbox,single_conservative_bbox,54.147945,54.147945,0,0,R21PT0003,shared_core_track_diagnostic,true
R21R1F00015,R21R1F00018,30,31,single_conservative_bbox,common_core_bbox,3.162278,3.162278,0.533333,0.533333,,single_geometry_possible_correspondence,true
R21R1F00015,R21R1F00019,30,31,single_conservative_bbox,single_conservative_bbox,108.406642,108.406642,0,0,,single_geometry_possible_correspondence,false
R21R1F00015,R21R1F00020,30,31,single_conservative_bbox,single_conservative_bbox,92.973114,92.973114,0,0,,single_geometry_possible_correspondence,false
R21R1F00016,R21R1F00018,30,31,single_conservative_bbox,common_core_bbox,93.005376,93.005376,0,0,R21PT0003,shared_core_track_diagnostic,true
R21R1F00016,R21R1F00019,30,31,single_conservative_bbox,single_conservative_bbox,24.33105,24.33105,0,0,,single_geometry_possible_correspondence,false
R21R1F00016,R21R1F00020,30,31,single_conservative_bbox,single_conservative_bbox,2,2,0.8,0.8,R21PT0003,shared_core_track_diagnostic,false
R21R1F00017,R21R1F00018,30,31,single_conservative_bbox,common_core_bbox,104.100913,104.100913,0,0,,single_geometry_possible_correspondence,true
R21R1F00017,R21R1F00019,30,31,single_conservative_bbox,single_conservative_bbox,5,5,0.451613,0.451613,,single_geometry_possible_correspondence,false
R21R1F00017,R21R1F00020,30,31,single_conservative_bbox,single_conservative_bbox,27.073973,27.073973,0,0,,single_geometry_possible_correspondence,false
R21R1F00018,R21R1F00021,31,32,common_core_bbox,common_core_bbox,68.014704,68.014704,0.013841,0.013841,R21PT0002,shared_core_track_diagnostic,true
R21R1F00018,R21R1F00022,31,32,common_core_bbox,single_conservative_bbox,37.589892,37.589892,0,0,R21PT0002,shared_core_track_diagnostic,true
R21R1F00018,R21R1F00023,31,32,common_core_bbox,single_conservative_bbox,0,0,1,1,,single_geometry_possible_correspondence,true
R21R1F00018,R21R1F00024,31,32,common_core_bbox,single_conservative_bbox,104.656581,104.656581,0,0,R21PT0004,shared_core_track_diagnostic,true
R21R1F00018,R21R1F00025,31,32,common_core_bbox,single_conservative_bbox,89.498603,89.498603,0,0,R21PT0003,shared_core_track_diagnostic,true
R21R1F00018,R21R1F00026,31,32,common_core_bbox,single_conservative_bbox,51.613952,51.613952,0,0,,single_geometry_possible_correspondence,true
R21R1F00019,R21R1F00021,31,32,single_conservative_bbox,common_core_bbox,104.785495,104.785495,0,0,,single_geometry_possible_correspondence,true
R21R1F00019,R21R1F00022,31,32,single_conservative_bbox,single_conservative_bbox,68.476273,68.476273,0,0,,single_geometry_possible_correspondence,false
R21R1F00019,R21R1F00023,31,32,single_conservative_bbox,single_conservative_bbox,106.066017,106.066017,0,0,,single_geometry_possible_correspondence,false
R21R1F00019,R21R1F00024,31,32,single_conservative_bbox,single_conservative_bbox,3,3,0.666667,0.666667,R21PT0004,shared_core_track_diagnostic,false
R21R1F00019,R21R1F00025,31,32,single_conservative_bbox,single_conservative_bbox,30.594117,30.594117,0,0,,single_geometry_possible_correspondence,false
R21R1F00019,R21R1F00026,31,32,single_conservative_bbox,single_conservative_bbox,63.63961,63.63961,0,0,,single_geometry_possible_correspondence,false
R21R1F00020,R21R1F00021,31,32,single_conservative_bbox,common_core_bbox,80.498447,80.498447,0,0,,single_geometry_possible_correspondence,true
R21R1F00020,R21R1F00022,31,32,single_conservative_bbox,single_conservative_bbox,54.744863,54.744863,0,0,,single_geometry_possible_correspondence,false
R21R1F00020,R21R1F00023,31,32,single_conservative_bbox,single_conservative_bbox,91.093359,91.093359,0,0,,single_geometry_possible_correspondence,false
R21R1F00020,R21R1F00024,31,32,single_conservative_bbox,single_conservative_bbox,21.84033,21.84033,0,0,,single_geometry_possible_correspondence,false
R21R1F00020,R21R1F00025,31,32,single_conservative_bbox,single_conservative_bbox,6,6,0.5,0.5,R21PT0003,shared_core_track_diagnostic,false
R21R1F00020,R21R1F00026,31,32,single_conservative_bbox,single_conservative_bbox,58.940648,58.940648,0,0,,single_geometry_possible_correspondence,false
R21R1F00021,R21R1F00027,32,34,common_core_bbox,common_core_bbox,9.656604,9.656604,0.804435,0.804435,R21PT0002,shared_core_track_diagnostic,true
R21R1F00021,R21R1F00028,32,34,common_core_bbox,single_conservative_bbox,100.846418,100.846418,0,0,,single_geometry_possible_correspondence,true
R21R1F00021,R21R1F00030,32,34,common_core_bbox,single_conservative_bbox,62.425956,62.425956,0.021053,0.021053,,single_geometry_possible_correspondence,true
R21R1F00021,R21R1F00031,32,34,common_core_bbox,single_conservative_bbox,67.416615,67.416615,0,0,,single_geometry_possible_correspondence,true
R21R1F00021,R21R1F00032,32,34,common_core_bbox,single_conservative_bbox,61.846584,61.846584,0,0,R21PT0005,shared_core_track_diagnostic,true
R21R1F00021,R21R1F00033,32,34,common_core_bbox,single_conservative_bbox,124.310096,124.310096,0,0,,single_geometry_possible_correspondence,true
R21R1F00022,R21R1F00027,32,34,single_conservative_bbox,common_core_bbox,71.772209,71.772209,0,0,R21PT0002,shared_core_track_diagnostic,true
R21R1F00022,R21R1F00028,32,34,single_conservative_bbox,single_conservative_bbox,64.412732,64.412732,0,0,,single_geometry_possible_correspondence,false
R21R1F00022,R21R1F00029,32,34,single_conservative_bbox,single_conservative_bbox,114.629839,114.629839,0,0,,single_geometry_possible_correspondence,false
R21R1F00022,R21R1F00030,32,34,single_conservative_bbox,single_conservative_bbox,42.638011,42.638011,0,0,,single_geometry_possible_correspondence,false
R21R1F00022,R21R1F00031,32,34,single_conservative_bbox,single_conservative_bbox,54.332311,54.332311,0,0,,single_geometry_possible_correspondence,false
R21R1F00022,R21R1F00032,32,34,single_conservative_bbox,single_conservative_bbox,4.242641,4.242641,0.666667,0.666667,,single_geometry_possible_correspondence,false
R21R1F00022,R21R1F00033,32,34,single_conservative_bbox,single_conservative_bbox,59.093147,59.093147,0,0,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00027,32,34,single_conservative_bbox,common_core_bbox,77.150826,77.150826,0.006296,0.006296,,single_geometry_possible_correspondence,true
R21R1F00023,R21R1F00028,32,34,single_conservative_bbox,single_conservative_bbox,102,102,0,0,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00029,32,34,single_conservative_bbox,single_conservative_bbox,133.660016,133.660016,0,0,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00030,32,34,single_conservative_bbox,single_conservative_bbox,9,9,0.4,0.4,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00031,32,34,single_conservative_bbox,single_conservative_bbox,87.823687,87.823687,0,0,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00032,32,34,single_conservative_bbox,single_conservative_bbox,39,39,0,0,,single_geometry_possible_correspondence,false
R21R1F00023,R21R1F00033,32,34,single_conservative_bbox,single_conservative_bbox,72.56032,72.56032,0,0,,single_geometry_possible_correspondence,false
