response_unit_id,sar_frame,measurement_region_type,matched_gt_pair_id,matched_gt_instance_id,response_region_bbox,physical_vehicle_id,mask_class,gt_pair_linked_mask_context,frame_only_mask_context,mask_state,actual_fan_pixel_censored,gt_bbox_intersects_invalid_mask,sar_response_touches_mask,sar_response_truncation_direction,multiple_boundary_variant_uncertainty,response_center_radial_px,response_center_azimuth_deg,range_p50_width_px,range_p80_width_px,range_p90_width_px,azimuth_p50_width_px,azimuth_p80_width_px,azimuth_p90_width_px,sar_azimuth_p50_width_deg_approx,sar_azimuth_p80_width_deg_approx,sar_azimuth_p90_width_deg_approx,sar_range_p80_interval_m,sar_cross_range_p80_width_m,absolute_scale_status,scale_blocked_reason
R21B00011,28,core_region,,,"1036,1131,1192,1233",,,false,false,no_mask_audit_row,false,,,,true,153.889441,-15.065723,34.908178,78.40174,93.552877,52.550714,102.615228,122.299489,19.565567,38.205477,45.534278,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00012,29,core_region,,,"1042,1131,1192,1197",,,false,false,no_mask_audit_row,false,,,,true,170.659193,-12.521525,25.824568,47.189957,57.373997,56.40247,101.958762,120.943968,18.936123,34.230836,40.60478,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00013,29,core_region,,,"1096,1203,1156,1245",,,false,false,no_mask_audit_row,false,,,,false,110.21597,-14.717103,9.57393,20.653994,28.342535,13.433625,32.639553,41.081161,6.983471,16.967674,21.356044,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00014,29,core_region,,,"1090,1131,1114,1149",,,false,false,no_mask_audit_row,false,,,,false,197.56609,-15.260206,4.034093,7.981127,11.488814,7.804983,14.207904,17.716603,2.263509,4.120408,5.13796,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00015,29,core_region,,,"1042,1131,1192,1245",,,false,false,no_mask_audit_row,false,,,,true,147.32196,-14.54561,38.55094,84.227769,98.594941,49.977614,98.620735,118.424979,19.437064,38.355123,46.057298,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00016,30,core_region,,,"1042,1131,1193,1197",,,false,false,no_mask_audit_row,false,,,,true,170.551488,-12.357548,25.925309,46.449316,57.029113,57.205013,103.609767,123.267174,19.217691,34.807098,41.41089,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00017,30,core_region,,,"1096,1203,1162,1245",,,false,false,no_mask_audit_row,false,,,,true,109.492283,-13.198571,9.675568,21.681893,29.724469,14.771817,34.807933,45.301823,7.729885,18.214504,23.70581,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00018,30,core_region,,,"1090,1131,1120,1149",,,false,false,no_mask_audit_row,false,,,,false,196.797764,-14.417551,4.177893,8.716562,11.953388,6.087468,12.120056,16.99003,1.772308,3.528638,4.946484,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00019,30,core_region,,,"1066,1221,1084,1239",,,false,false,no_mask_audit_row,false,,,,false,127.911532,-38.142132,6.460715,10.89503,12.805726,6.176144,11.006044,13.650059,2.766498,4.929969,6.11431,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00020,30,core_region,,,"1042,1221,1054,1239",,,false,false,no_mask_audit_row,false,,,,false,146.138154,-46.497225,4.130338,7.867897,10.621456,5.114339,10.006969,12.219944,2.005158,3.923391,4.791023,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00021,30,core_region,,,"1042,1131,1193,1245",,,false,false,no_mask_audit_row,false,,,,true,147.197181,-14.357225,41.247393,84.057996,99.743079,49.102163,100.694863,121.009791,19.112776,39.194981,47.102467,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00022,30,core_region,,,"1042,1131,1193,1239",,,false,false,no_mask_audit_row,false,,,,true,150.10533,-14.073274,39.772072,82.200279,96.541542,49.041563,101.145642,121.250858,18.719353,38.607679,46.281917,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00023,30,core_region,,,"1066,1203,1162,1245",,,false,false,no_mask_audit_row,false,,,,true,113.85763,-20.567825,14.166815,29.268131,38.748391,20.720614,49.979962,75.490768,10.42709,25.151067,37.988692,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00024,31,core_region,WGV35A_PAIR_0205,317,"1042,1135,1193,1249",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,143.325539,-14.753736,44.073792,84.29691,101.545057,49.163604,100.928977,120.070018,19.653629,40.347341,47.999159,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00025,31,core_region,WGV35A_PAIR_0205,317,"1090,1135,1114,1147",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,true,196.601526,-15.336911,4.651032,8.150496,9.908367,5.521829,10.79544,14.559399,1.609232,3.146126,4.24306,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00026,31,core_region,WGV35A_PAIR_0205,317,"1042,1225,1060,1243",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,141.211048,-46.83651,3.511057,7.706196,12.63074,5.835237,11.443864,14.864276,2.367622,4.643299,6.031117,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00027,31,core_region,WGV35A_PAIR_0205,317,"1066,1219,1084,1237",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,129.490386,-37.59557,6.465345,11.401619,14.269785,6.766526,13.295196,16.28229,2.993994,5.882743,7.204446,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00028,31,core_region,WGV35A_PAIR_0205,317,"1042,1135,1193,1249",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,143.325539,-14.753736,44.073792,84.29691,101.545057,49.163604,100.928977,120.070018,19.653629,40.347341,47.999159,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
