competition_id,scene,competition_type,anchor_auto_node_id,candidate_auto_node_ids,candidate_relation_ids,candidate_count,top_score,second_score,score_margin,competition_status,reason
COMP_0025,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0030,AUTO_GM_RM011_0031;AUTO_GM_RM011_0032;AUTO_GM_RM011_0033,REL_GM_RM011_00202;REL_GM_RM011_00203;REL_GM_RM011_00204,3,0.967851,0.938733,0.029118,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0026,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0031,AUTO_GM_RM011_0032;AUTO_GM_RM011_0033,REL_GM_RM011_00205;REL_GM_RM011_00206,2,0.940397,0.726098,0.214299,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0027,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0038,AUTO_GM_RM019_0041;AUTO_GM_RM019_0042;AUTO_GM_RM019_0040;AUTO_GM_RM019_0043;AUTO_GM_RM019_0044,REL_GM_RM019_00208;REL_GM_RM019_00209;REL_GM_RM019_00207;REL_GM_RM019_00210;REL_GM_RM019_00211,5,0.778987,0.757484,0.021503,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0028,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0039,AUTO_GM_RM019_0042;AUTO_GM_RM019_0041;AUTO_GM_RM019_0043,REL_GM_RM019_00215;REL_GM_RM019_00214;REL_GM_RM019_00216,3,0.763151,0.757467,0.005684,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0029,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0040,AUTO_GM_RM019_0043;AUTO_GM_RM019_0044;AUTO_GM_RM019_0045;AUTO_GM_RM019_0046,REL_GM_RM019_00222;REL_GM_RM019_00223;REL_GM_RM019_00224;REL_GM_RM019_00225,4,0.969202,0.635394,0.333808,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0030,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0041,AUTO_GM_RM019_0042;AUTO_GM_RM019_0043;AUTO_GM_RM019_0044;AUTO_GM_RM019_0045;AUTO_GM_RM019_0046,REL_GM_RM019_00229;REL_GM_RM019_00230;REL_GM_RM019_00231;REL_GM_RM019_00232;REL_GM_RM019_00233,5,0.978767,0.946922,0.031845,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0031,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0042,AUTO_GM_RM019_0043;AUTO_GM_RM019_0045;AUTO_GM_RM019_0044;AUTO_GM_RM019_0046,REL_GM_RM019_00237;REL_GM_RM019_00239;REL_GM_RM019_00238;REL_GM_RM019_00240,4,0.962355,0.804949,0.157406,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0032,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0044,AUTO_GM_RM019_0045;AUTO_GM_RM019_0048;AUTO_GM_RM019_0047;AUTO_GM_RM019_0046,REL_GM_RM019_00250;REL_GM_RM019_00253;REL_GM_RM019_00252;REL_GM_RM019_00251,4,0.806578,0.501880,0.304698,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0033,GM_RM019,one_source_multiple_successors,AUTO_GM_RM019_0046,AUTO_GM_RM019_0049;AUTO_GM_RM019_0047,REL_GM_RM019_00262;REL_GM_RM019_00260,2,0.679639,0.422253,0.257386,resolved_margin,fixed pre-WGV1.4 competition preservation rule
COMP_0034,GM_RM011,multiple_sources_one_successor,AUTO_GM_RM011_0004,AUTO_GM_RM011_0001;AUTO_GM_RM011_0002,REL_GM_RM011_00009;REL_GM_RM011_00002,2,0.960187,0.703713,0.256474,resolved_margin,fixed pre-WGV1.4 competition preservation rule
