experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,frame_offset,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,prediction_region_area,search_window_area,static_fan_geometry_area,search_ratio,prediction_status,selection_status,first_lost_frame,consecutive_missing_length,ambiguous_frame_count,measured_response_switch_count,cumulative_drift_from_source,frozen_predictions_sha256_verified,target_box_loaded_phase
ADJ_0212_TO_0213,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.872259,0.808022,10.415418,10618.56,34201.28,2628414,0.013012,ambiguous_response,ambiguous_response,289,0,2,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
ADJ_0212_TO_0213,adjacent_hidden_anchor,C2,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.4212,0.275194,67.256486,10618.56,37465.28,2628414,0.014254,observed_response,selected_unique_component_after_hard_gate,,0,0,0,77.662032,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,13142.1717,2628414,0.005,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,38962.2997,2628414,0.014824,ambiguous_response,ambiguous_response,28,0,4,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,0.693498,0.470386,22.986468,13142.1717,42228.6997,2628414,0.016066,ambiguous_response,ambiguous_response,29,0,2,0,26.96535,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,0,0,205.47647,13142.1717,13142.1717,2628414,0.005,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,0.0046,0.002252,91.740749,13142.1717,38962.2997,2628414,0.014824,ambiguous_response,ambiguous_response,28,0,49,0,164.912091,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,0,0,99.26076,13142.1717,42228.6997,2628414,0.016066,ambiguous_response,ambiguous_response,29,0,27,0,272.850085,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,0,0,215.343475,13142.1717,13142.1717,2628414,0.005,fixed_anchor_baseline,fixed_anchor_no_sar_response_read,,0,0,0,0,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,0,0,100.928516,13142.1717,38962.2997,2628414,0.014824,ambiguous_response,ambiguous_response,28,0,53,0,178.105058,31ce1b65317fea5b1cb2a5b37afb8c2eb79416de625801d8e0ddef6da7df9c31,evaluate_only
