edge_id,source_node_id,target_node_id,source_sar_frame,target_sar_frame,geometry_distance,radial_drift,azimuth_drift,extent_continuity_ratio,orientation_difference,energy_ratio,role_compatibility,background_conflict_consistency,edge_status,blocked_reason
R1E0082,R1N0020,R1N0024,31,32,61.210039,40.173538,16.308371,1.789333,40.721246,1.933144,false,true,blocked_by_role_incompatibility,blocked_by_role_incompatibility
R1E0083,R1N0020,R1N0025,31,32,64.376334,23.163574,22.266747,2.163938,29.491135,1.652989,true,true,ambiguous_successors,
R1E0084,R1N0020,R1N0026,31,32,4.140675,2.695526,1.256207,1.009772,8.936442,1.045343,true,true,ambiguous_successors,
R1E0085,R1N0020,R1N0027,31,32,30.331395,16.988861,10.639519,1.009502,60.733528,1.190925,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump
R1E0086,R1N0021,R1N0022,31,32,90.629901,67.104736,22.086722,1.091722,59.190906,1.874499,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump
R1E0087,R1N0021,R1N0023,31,32,69.06195,7.58931,29.466297,8.573268,34.60426,38.427426,true,true,blocked_by_radial_azimuth_drift,blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump
R1E0088,R1N0021,R1N0024,31,32,58.231882,55.480606,6.652769,1.589275,79.025278,1.413031,false,true,blocked_by_orientation_jump,blocked_by_orientation_jump;blocked_by_role_incompatibility
R1E0089,R1N0021,R1N0025,31,32,50.214862,38.470642,12.611145,1.921997,30.762342,2.261427,true,true,ambiguous_successors,
R1E0090,R1N0021,R1N0026,31,32,23.464162,12.611542,8.399395,1.114985,51.317034,1.308741,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump
R1E0091,R1N0021,R1N0027,31,32,2.765124,1.681793,0.983917,1.115282,0.480052,1.148757,true,true,ambiguous_successors,
R1E0092,R1N0035,R1N0042,39,40,36.777654,17.273911,8.421873,2.97148,6.725744,3.245474,true,true,unique_continuation,
R1E0093,R1N0035,R1N0043,39,40,138.308991,40.869247,36.28821,1.233299,2.780983,2.129254,false,false,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility;blocked_by_background_conflict
R1E0094,R1N0035,R1N0044,39,40,95.826416,73.122604,18.426079,1.373394,10.287302,2.990796,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility
R1E0095,R1N0035,R1N0045,39,40,159.028619,116.125298,38.032675,2.180464,88.515013,11.775163,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump;blocked_by_energy_jump
