edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00103,46,R1A0047,R1A0048,0,92.727032,65.610962,22.413718,84.400889,3.883931,true,false
R2E00104,46,R1A0047,R1A0049,16.970563,58.613981,38.252259,14.068716,17.088038,19.753165,false,false
R2E00105,46,R1A0048,R1A0049,0,36.190239,27.358703,8.345002,78.511073,76.719937,false,false
R2E00106,52,R1A0050,R1A0051,12,85.309703,3.051117,25.224399,50.508103,15.075767,false,true
R2E00107,52,R1A0050,R1A0052,0,64.1681,38.654831,17.516208,4.641293,3.245955,true,true
R2E00108,52,R1A0050,R1A0053,36,75.174561,64.110352,15.691799,0.235821,45.171875,false,true
R2E00109,52,R1A0050,R1A0054,48,89.263847,86.159691,11.812792,3.124594,1.466506,false,true
R2E00110,52,R1A0051,R1A0052,18,48.134925,41.705948,7.708191,45.86681,4.644479,false,true
R2E00111,52,R1A0051,R1A0053,55.317267,72.171957,67.161469,9.5326,50.272282,2.996324,false,false
R2E00112,52,R1A0051,R1A0054,66,96.045691,89.210808,13.411607,47.383509,10.280061,true,false
R2E00113,52,R1A0052,R1A0053,12,25.442173,25.455521,1.824409,4.405472,13.91636,false,true
R2E00114,52,R1A0052,R1A0054,24,49.483369,47.50486,5.703416,1.516699,2.213394,false,true
R2E00115,52,R1A0053,R1A0054,6,24.112766,22.049339,3.879007,2.888773,30.80239,false,false
R2E00116,60,R1A0055,R1A0056,6,68.129379,22.07573,19.136954,30.24012,6.194656,true,false
R2E00117,60,R1A0055,R1A0057,24,96.938927,6.172471,30.123789,43.17008,1.953578,true,false
R2E00118,60,R1A0055,R1A0058,168,219.812218,105.747681,49.546038,1.467104,21.987735,false,false
R2E00119,60,R1A0055,R1A0059,0,45.183564,28.216156,11.930953,0.983429,1.619745,true,false
R2E00120,60,R1A0055,R1A0060,36,78.565246,78.489219,1.932715,10.77422,1.115393,true,false
R2E00121,60,R1A0055,R1A0061,42,84.406654,65.340805,21.226178,60.180267,5.544536,true,false
R2E00122,60,R1A0055,R1A0062,45.694639,108.31579,46.338516,36.108065,15.866621,4.626011,true,false
R2E00123,60,R1A0055,R1A0063,78,116.782954,103.69371,25.616997,15.948114,19.860414,false,false
R2E00124,60,R1A0056,R1A0057,0,41.428262,15.903259,10.986835,73.4102,3.170928,true,false
R2E00125,60,R1A0056,R1A0058,138,152.694243,83.671951,30.409084,28.773016,3.549469,false,false
R2E00126,60,R1A0056,R1A0059,12,55.645313,50.291886,7.206001,31.223549,3.824464,true,false
R2E00127,60,R1A0056,R1A0060,59.093147,110.08049,100.564949,17.204239,19.4659,5.553789,true,false
R2E00128,60,R1A0056,R1A0061,60,87.599831,87.416535,2.089224,89.579613,1.117254,true,false
R2E00129,60,R1A0056,R1A0062,60,84.59348,68.414246,16.971111,46.106741,1.339092,true,false
R2E00130,60,R1A0056,R1A0063,96,127.22545,125.76944,6.480043,14.292006,3.206056,false,false
R2E00131,60,R1A0057,R1A0058,78,127.166147,99.57521,19.422249,44.637184,11.25511,false,false
R2E00132,60,R1A0057,R1A0059,12,64.136738,34.388627,18.192836,42.186651,1.206102,true,false
R2E00133,60,R1A0057,R1A0060,42.426407,108.881853,84.66169,28.191074,53.9443,1.751471,true,false
R2E00134,60,R1A0057,R1A0061,21.633308,74.710809,71.513276,8.897611,17.010187,2.838144,true,false
R2E00135,60,R1A0057,R1A0062,12,54.656503,52.510987,5.984276,27.303459,2.367968,true,false
R2E00136,60,R1A0057,R1A0063,51.264022,110.332516,109.866181,4.506792,59.118194,10.166174,false,false
R2E00137,60,R1A0058,R1A0059,156.115342,191.302867,133.963837,37.615085,2.450533,13.574816,false,false
R2E00138,60,R1A0058,R1A0060,192.093727,231.840553,184.2369,47.613323,9.307116,19.713001,false,false
R2E00139,60,R1A0058,R1A0061,170.762994,193.428897,171.088486,28.31986,61.647371,3.965658,false,false
R2E00140,60,R1A0058,R1A0062,126.142776,159.049346,152.086197,13.437973,17.333725,4.753066,false,false
