response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00101,R21C00101,81,unresolved,R21A00084,,R21A00083;R21A00086,R21A00082;R21A00085,"1302,1133,1314,1145","1302,1133,1314,1145","1200,1133,1314,1241",1308,1139,4.62,5.748,7.374544,38.790853,0,sar_image_pixel_domain
R21B00102,R21C00102,81,unresolved,R21A00085,,R21A00083;R21A00086,R21A00082;R21A00084,"1176,1241,1212,1271","1176,1241,1212,1271","1176,1175,1272,1271",1194,1256,1.2,2.238,2.539418,28.199899,0,sar_image_pixel_domain
R21B00103,R21C00103,81,unresolved,R21A00086,,R21A00083;R21A00084;R21A00085,R21A00082,"1242,1175,1272,1187","1242,1175,1272,1187","1176,1133,1314,1271",1257,1181,3.09,4.488,5.448875,34.547515,0,sar_image_pixel_domain
R21B00104,R21C00104,81,unresolved,R21A00083;R21A00085,,R21A00084;R21A00086,R21A00082,"1176,1181,1260,1271","1176,1181,1260,1271","1176,1133,1314,1271",1218,1226,1.92,3.138,3.678783,31.460575,0,sar_image_pixel_domain
R21B00105,R21C00105,212,unresolved,R21A00087,,R21A00088,,"957,1126,1132,1240","957,1126,1132,1240","957,1126,1132,1240",1044.5,1183,-3.285,4.428,5.513475,-36.570608,0,sar_image_pixel_domain
R21B00106,R21C00106,212,vehicle_part_box_only,R21A00088,,R21A00087,,"1005,1210,1023,1240","1005,1210,1023,1240","957,1126,1132,1240",1014,1225,-4.2,3.168,5.26082,-52.973271,0,sar_image_pixel_domain
R21B00107,R21C00107,212,unresolved,R21A00087;R21A00088,,,,"957,1126,1132,1240","957,1126,1132,1240","957,1126,1132,1240",1044.5,1183,-3.285,4.428,5.513475,-36.570608,0,sar_image_pixel_domain
R21B00108,R21C00108,213,unresolved,R21A00089,,R21A00090;R21A00091,,"981,1126,1132,1240","981,1126,1132,1240","963,1126,1132,1246",1056.5,1183,-2.925,4.428,5.306864,-33.447519,0,sar_image_pixel_domain
R21B00109,R21C00109,213,unresolved,R21A00090,,R21A00089;R21A00091,,"963,1150,987,1180","963,1150,987,1180","963,1126,1132,1246",975,1165,-5.37,4.968,7.315595,-47.226863,0,sar_image_pixel_domain
R21B00110,R21C00110,213,vehicle_part_box_only,R21A00091,,R21A00089;R21A00090,,"1005,1210,1023,1246","1005,1210,1023,1246","963,1126,1132,1246",1014,1228,-4.2,3.078,5.207119,-53.763909,0,sar_image_pixel_domain
R21B00111,R21C00111,213,unresolved,R21A00089;R21A00091,,R21A00090,,"981,1126,1132,1246","981,1126,1132,1246","963,1126,1132,1246",1056.5,1186,-2.925,4.338,5.232004,-33.990758,0,sar_image_pixel_domain
R21B00112,R21C00112,216,unresolved,R21A00092,,R21A00093,,"975,1126,1131,1240","975,1126,1131,1240","975,1126,1131,1240",1053,1183,-3.03,4.428,5.365453,-34.383128,0,sar_image_pixel_domain
R21B00113,R21C00113,216,vehicle_part_box_only,R21A00093,,R21A00092,,"1017,1216,1035,1240","1017,1216,1035,1240","975,1126,1131,1240",1026,1228,-3.84,3.078,4.92135,-51.285645,0,sar_image_pixel_domain
R21B00114,R21C00114,216,unresolved,R21A00092;R21A00093,,,,"975,1126,1131,1240","975,1126,1131,1240","975,1126,1131,1240",1053,1183,-3.03,4.428,5.365453,-34.383128,0,sar_image_pixel_domain
R21B00115,R21C00115,220,unresolved,R21A00094,,R21A00095,,"1011,1126,1132,1240","1011,1126,1132,1240","993,1126,1132,1240",1071.5,1183,-2.475,4.428,5.072752,-29.202706,0,sar_image_pixel_domain
R21B00116,R21C00116,220,unresolved,R21A00095,,R21A00094,,"993,1156,1017,1174","993,1156,1017,1174","993,1126,1132,1240",1005,1165,-4.47,4.968,6.682958,-41.979565,0,sar_image_pixel_domain
R21B00117,R21C00117,224,unresolved,R21A00096,,R21A00097;R21A00098,,"1005,1126,1132,1234","1005,1126,1132,1234","1005,1126,1132,1240",1068.5,1180,-2.565,4.518,5.195339,-29.584838,0,sar_image_pixel_domain
R21B00118,R21C00118,224,vehicle_part_box_only,R21A00097,,R21A00096;R21A00098,,"1041,1210,1065,1240","1041,1210,1065,1240","1005,1126,1132,1240",1053,1225,-3.03,3.168,4.383734,-43.724506,0,sar_image_pixel_domain
R21B00119,R21C00119,224,vehicle_part_box_only,R21A00098,,R21A00096;R21A00097,,"1011,1228,1029,1240","1011,1228,1029,1240","1005,1126,1132,1240",1020,1234,-4.02,2.898,4.955684,-54.212335,0,sar_image_pixel_domain
R21B00120,R21C00120,224,unresolved,R21A00096;R21A00097,,R21A00098,,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",1068.5,1183,-2.565,4.428,5.117266,-30.082353,0,sar_image_pixel_domain
R21B00121,R21C00121,224,unresolved,R21A00096;R21A00098,,R21A00097,,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",1068.5,1183,-2.565,4.428,5.117266,-30.082353,0,sar_image_pixel_domain
R21B00122,R21C00122,224,unresolved,R21A00097;R21A00098,,R21A00096,,"1011,1210,1065,1240","1011,1210,1065,1240","1005,1126,1132,1240",1038,1225,-3.48,3.168,4.70602,-47.687,0,sar_image_pixel_domain
R21B00123,R21C00123,224,unresolved,R21A00096;R21A00097;R21A00098,,,,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",1068.5,1183,-2.565,4.428,5.117266,-30.082353,0,sar_image_pixel_domain
R21B00124,R21C00124,227,unresolved,R21A00099,,R21A00100;R21A00101,,"1017,1126,1132,1234","1017,1126,1132,1234","1017,1126,1132,1240",1074.5,1180,-2.385,4.518,5.10887,-27.829056,0,sar_image_pixel_domain
R21B00125,R21C00125,227,vehicle_part_box_only,R21A00100,,R21A00099;R21A00101,,"1047,1204,1077,1240","1047,1204,1077,1240","1017,1126,1132,1240",1062,1222,-2.76,3.258,4.269914,-40.269453,0,sar_image_pixel_domain
R21B00126,R21C00126,227,unresolved,R21A00101,,R21A00099;R21A00100,,"1023,1228,1041,1240","1023,1228,1041,1240","1017,1126,1132,1240",1032,1234,-3.66,2.898,4.668405,-51.627703,0,sar_image_pixel_domain
R21B00127,R21C00127,227,unresolved,R21A00099;R21A00100,,R21A00101,,"1017,1126,1132,1240","1017,1126,1132,1240","1017,1126,1132,1240",1074.5,1183,-2.385,4.428,5.029454,-28.3077,0,sar_image_pixel_domain
R21B00128,R21C00128,228,unresolved,R21A00102,,R21A00103;R21A00104,,"1023,1126,1132,1240","1023,1126,1132,1240","1023,1126,1132,1240",1077.5,1183,-2.295,4.428,4.987405,-27.397377,0,sar_image_pixel_domain
R21B00129,R21C00129,228,vehicle_response_box_possible,R21A00103,,R21A00102;R21A00104,,"1053,1204,1083,1240","1053,1204,1083,1240","1023,1126,1132,1240",1068,1222,-2.58,3.258,4.155835,-38.375593,0,sar_image_pixel_domain
R21B00130,R21C00130,228,unresolved,R21A00104,,R21A00102;R21A00103,,"1023,1228,1041,1240","1023,1228,1041,1240","1023,1126,1132,1240",1032,1234,-3.66,2.898,4.668405,-51.627703,0,sar_image_pixel_domain
R21B00131,R21C00131,228,unresolved,R21A00102;R21A00103,,R21A00104,,"1023,1126,1132,1240","1023,1126,1132,1240","1023,1126,1132,1240",1077.5,1183,-2.295,4.428,4.987405,-27.397377,0,sar_image_pixel_domain
R21B00132,R21C00132,238,vehicle_response_box_possible,R21A00105,,R21A00106,,"1051,1135,1177,1255","1051,1135,1177,1255","1051,1135,1177,1255",1114,1195,-1.2,4.068,4.2413,-16.435282,0,sar_image_pixel_domain
R21B00133,R21C00133,238,unresolved,R21A00106,,R21A00105,,"1063,1231,1075,1243","1063,1231,1075,1243","1051,1135,1177,1255",1069,1237,-2.55,2.808,3.793068,-42.243206,0,sar_image_pixel_domain
R21B00134,R21C00134,239,vehicle_response_box_possible,R21A00107,,R21A00108;R21A00109,,"1051,1135,1177,1255","1051,1135,1177,1255","1051,1135,1177,1255",1114,1195,-1.2,4.068,4.2413,-16.435282,0,sar_image_pixel_domain
R21B00135,R21C00135,239,vehicle_response_box_possible,R21A00108,,R21A00107;R21A00109,,"1087,1201,1111,1237","1087,1201,1111,1237","1051,1135,1177,1255",1099,1219,-1.65,3.348,3.732506,-26.235532,0,sar_image_pixel_domain
R21B00136,R21C00136,239,unresolved,R21A00109,,R21A00107;R21A00108,,"1063,1231,1075,1243","1063,1231,1075,1243","1051,1135,1177,1255",1069,1237,-2.55,2.808,3.793068,-42.243206,0,sar_image_pixel_domain
R21B00137,R21C00137,243,vehicle_response_box_possible,R21A00110,,R21A00111;R21A00112,,"1063,1135,1195,1249","1063,1135,1195,1249","1063,1135,1195,1249",1129,1192,-0.75,4.158,4.225099,-10.224794,0,sar_image_pixel_domain
R21B00138,R21C00138,243,unresolved,R21A00111,,R21A00110,R21A00112,"1075,1231,1087,1243","1075,1231,1087,1243","1063,1135,1195,1249",1081,1237,-2.19,2.808,3.561034,-37.951186,0,sar_image_pixel_domain
R21B00139,R21C00139,243,unresolved,R21A00112,,R21A00110,R21A00111,"1177,1165,1195,1177","1177,1165,1195,1177","1063,1135,1195,1249",1186,1171,0.96,4.788,4.883292,11.337545,0,sar_image_pixel_domain
R21B00140,R21C00140,250,vehicle_response_box_possible,R21A00113,,R21A00114;R21A00115,,"1099,1135,1201,1261","1099,1135,1201,1261","1099,1135,1218,1261",1150,1198,-0.12,3.978,3.97981,-1.727855,0,sar_image_pixel_domain
R21B00141,R21C00141,250,unresolved,R21A00114,,R21A00113;R21A00115,,"1183,1165,1201,1189","1183,1165,1201,1189","1099,1135,1218,1261",1192,1177,1.14,4.608,4.746922,13.895727,0,sar_image_pixel_domain
R21B00142,R21C00142,250,unresolved,R21A00115,,R21A00113;R21A00114,,"1195,1135,1218,1153","1195,1135,1218,1153","1099,1135,1218,1261",1206.5,1144,1.575,5.598,5.815344,15.713973,0,sar_image_pixel_domain
R21B00143,R21C00143,259,vehicle_response_box_possible,R21A00116,,R21A00117;R21A00118,,"1069,1135,1189,1255","1069,1135,1189,1255","1069,1135,1218,1255",1129,1195,-0.75,4.068,4.136559,-10.446079,0,sar_image_pixel_domain
R21B00144,R21C00144,259,vehicle_response_box_possible,R21A00117,,R21A00116;R21A00118,,"1189,1195,1218,1237","1189,1195,1218,1237","1069,1135,1218,1255",1203.5,1216,1.485,3.438,3.745006,23.361311,0,sar_image_pixel_domain
R21B00145,R21C00145,259,vehicle_part_box_only,R21A00118,,R21A00116;R21A00117,,"1189,1141,1218,1189","1189,1141,1218,1189","1069,1135,1218,1255",1203.5,1165,1.485,4.968,5.185195,16.642091,0,sar_image_pixel_domain
R21B00146,R21C00146,259,unresolved,R21A00116;R21A00117,,R21A00118,,"1069,1135,1218,1255","1069,1135,1218,1255","1069,1135,1218,1255",1143.5,1195,-0.315,4.068,4.080178,-4.427785,0,sar_image_pixel_domain
R21B00147,R21C00147,259,vehicle_response_box_supported,R21A00116;R21A00118,,R21A00117,,"1069,1135,1218,1255","1069,1135,1218,1255","1069,1135,1218,1255",1143.5,1195,-0.315,4.068,4.080178,-4.427785,0,sar_image_pixel_domain
R21B00148,R21C00148,259,vehicle_response_box_supported,R21A00117;R21A00118,,R21A00116,,"1189,1141,1218,1237","1189,1141,1218,1237","1069,1135,1218,1255",1203.5,1189,1.485,4.248,4.500081,19.268415,0,sar_image_pixel_domain
R21B00149,R21C00149,259,vehicle_response_box_supported,R21A00116;R21A00117;R21A00118,,,,"1069,1135,1218,1255","1069,1135,1218,1255","1069,1135,1218,1255",1143.5,1195,-0.315,4.068,4.080178,-4.427785,0,sar_image_pixel_domain
R21B00150,R21C00150,260,unresolved,R21A00119,,R21A00120;R21A00121,,"1075,1135,1218,1195","1075,1135,1218,1195","1075,1135,1218,1255",1146.5,1165,-0.225,4.968,4.973092,-2.593146,0,sar_image_pixel_domain
R21B00151,R21C00151,260,vehicle_response_box_possible,R21A00120,,R21A00119;R21A00121,,"1117,1201,1189,1255","1117,1201,1189,1255","1075,1135,1218,1255",1153,1228,-0.03,3.078,3.078146,-0.558421,0,sar_image_pixel_domain
R21B00152,R21C00152,260,vehicle_part_box_only,R21A00121,,R21A00119;R21A00120,,"1195,1201,1218,1237","1195,1201,1218,1237","1075,1135,1218,1255",1206.5,1219,1.575,3.348,3.699963,25.193706,0,sar_image_pixel_domain
R21B00153,R21C00153,260,unresolved,R21A00119;R21A00120,,R21A00121,,"1075,1135,1218,1255","1075,1135,1218,1255","1075,1135,1218,1255",1146.5,1195,-0.225,4.068,4.074218,-3.165789,0,sar_image_pixel_domain
R21B00154,R21C00154,260,unresolved,R21A00119;R21A00121,,R21A00120,,"1075,1135,1218,1237","1075,1135,1218,1237","1075,1135,1218,1255",1146.5,1186,-0.225,4.338,4.343831,-2.969112,0,sar_image_pixel_domain
R21B00155,R21C00155,260,vehicle_response_box_supported,R21A00120;R21A00121,,R21A00119,,"1117,1201,1218,1255","1117,1201,1218,1255","1075,1135,1218,1255",1167.5,1228,0.405,3.078,3.10453,7.495858,0,sar_image_pixel_domain
R21B00156,R21C00156,260,vehicle_response_box_supported,R21A00119;R21A00120;R21A00121,,,,"1075,1135,1218,1255","1075,1135,1218,1255","1075,1135,1218,1255",1146.5,1195,-0.225,4.068,4.074218,-3.165789,0,sar_image_pixel_domain
R21B00157,R21C00157,262,vehicle_response_box_possible,R21A00122,,,,"1075,1135,1218,1267","1075,1135,1218,1267","1075,1135,1218,1267",1146.5,1201,-0.225,3.888,3.894505,-3.312034,0,sar_image_pixel_domain
R21B00158,R21C00158,263,vehicle_response_box_possible,R21A00123,,,,"1069,1135,1218,1261","1069,1135,1218,1261","1069,1135,1218,1261",1143.5,1198,-0.315,3.978,3.990452,-4.527549,0,sar_image_pixel_domain
R21B00159,R21C00159,269,unresolved,R21A00124,,R21A00125;R21A00126;R21A00127;R21A00128;R21A00129,,"1107,1138,1245,1246","1107,1138,1245,1246","1107,1138,1281,1258",1176,1192,0.66,4.158,4.210055,9.019322,0,sar_image_pixel_domain
R21B00160,R21C00160,269,vehicle_response_box_possible,R21A00125,,R21A00124;R21A00126;R21A00127,R21A00128;R21A00129,"1143,1204,1185,1258","1143,1204,1185,1258","1107,1138,1263,1258",1164,1231,0.3,2.988,3.003022,5.733375,0,sar_image_pixel_domain
R21B00161,R21C00161,269,vehicle_part_box_only,R21A00126,,R21A00124;R21A00125;R21A00127;R21A00128;R21A00129,,"1227,1192,1245,1240","1227,1192,1245,1240","1107,1138,1281,1258",1236,1216,2.46,3.438,4.227463,35.584944,0,sar_image_pixel_domain
R21B00162,R21C00162,269,unresolved,R21A00127,,R21A00124;R21A00125;R21A00126;R21A00128;R21A00129,,"1251,1174,1263,1186","1251,1174,1263,1186","1107,1138,1281,1258",1257,1180,3.09,4.518,5.473612,34.369432,0,sar_image_pixel_domain
R21B00163,R21C00163,269,unresolved,R21A00128,,R21A00124;R21A00126;R21A00127;R21A00129,R21A00125,"1263,1138,1281,1150","1263,1138,1281,1150","1107,1138,1281,1246",1272,1144,3.54,5.598,6.623383,32.30798,0,sar_image_pixel_domain
R21B00164,R21C00164,269,unresolved,R21A00129,,R21A00124;R21A00126;R21A00127;R21A00128,R21A00125,"1245,1138,1257,1156","1245,1138,1257,1156","1107,1138,1281,1246",1251,1147,2.91,5.508,6.229459,27.848499,0,sar_image_pixel_domain
R21B00165,R21C00165,269,unresolved,R21A00124;R21A00125,,R21A00126;R21A00127;R21A00128;R21A00129,,"1107,1138,1245,1258","1107,1138,1245,1258","1107,1138,1281,1258",1176,1198,0.66,3.978,4.032379,9.420275,0,sar_image_pixel_domain
R21B00166,R21C00166,269,unresolved,R21A00124;R21A00126,,R21A00125;R21A00127;R21A00128;R21A00129,,"1107,1138,1245,1246","1107,1138,1245,1246","1107,1138,1281,1258",1176,1192,0.66,4.158,4.210055,9.019322,0,sar_image_pixel_domain
R21B00167,R21C00167,270,unresolved,R21A00130,,R21A00131;R21A00132;R21A00133;R21A00134,,"1107,1138,1263,1240","1107,1138,1263,1240","1107,1138,1287,1258",1185,1189,0.93,4.248,4.348609,12.348741,0,sar_image_pixel_domain
R21B00168,R21C00168,270,vehicle_response_box_possible,R21A00131,,R21A00130;R21A00132;R21A00133,R21A00134,"1137,1204,1185,1258","1137,1204,1185,1258","1107,1138,1275,1258",1161,1231,0.21,2.988,2.99537,4.020201,0,sar_image_pixel_domain
R21B00169,R21C00169,270,vehicle_part_box_only,R21A00132,,R21A00130;R21A00131;R21A00133;R21A00134,,"1233,1192,1245,1234","1233,1192,1245,1234","1107,1138,1287,1258",1239,1213,2.55,3.528,4.353078,35.858993,0,sar_image_pixel_domain
R21B00170,R21C00170,270,unresolved,R21A00133,,R21A00130;R21A00131;R21A00132;R21A00134,,"1245,1162,1275,1186","1245,1162,1275,1186","1107,1138,1287,1258",1260,1174,3.18,4.698,5.673059,34.093434,0,sar_image_pixel_domain
R21B00171,R21C00171,270,unresolved,R21A00134,,R21A00130;R21A00132;R21A00133,R21A00131,"1269,1138,1287,1150","1269,1138,1287,1150","1107,1138,1287,1240",1278,1144,3.72,5.598,6.72131,33.604954,0,sar_image_pixel_domain
R21B00172,R21C00172,270,unresolved,R21A00130;R21A00131,,R21A00132;R21A00133;R21A00134,,"1107,1138,1263,1258","1107,1138,1263,1258","1107,1138,1287,1258",1185,1198,0.93,3.978,4.085264,13.158607,0,sar_image_pixel_domain
R21B00173,R21C00173,270,unresolved,R21A00130;R21A00132,,R21A00131;R21A00133;R21A00134,,"1107,1138,1263,1240","1107,1138,1263,1240","1107,1138,1287,1258",1185,1189,0.93,4.248,4.348609,12.348741,0,sar_image_pixel_domain
R21B00174,R21C00174,270,unresolved,R21A00130;R21A00133,,R21A00131;R21A00132;R21A00134,,"1107,1138,1275,1240","1107,1138,1275,1240","1107,1138,1287,1258",1191,1189,1.11,4.248,4.390627,14.643932,0,sar_image_pixel_domain
R21B00175,R21C00175,271,unresolved,R21A00135,,R21A00136;R21A00137;R21A00138,,"1107,1138,1287,1240","1107,1138,1287,1240","1107,1138,1287,1252",1197,1189,1.29,4.248,4.43955,16.892084,0,sar_image_pixel_domain
R21B00176,R21C00176,271,vehicle_response_box_possible,R21A00136,,R21A00135;R21A00137;R21A00138,,"1143,1210,1197,1252","1143,1210,1197,1252","1107,1138,1287,1252",1170,1231,0.48,2.988,3.026309,9.126171,0,sar_image_pixel_domain
R21B00177,R21C00177,271,vehicle_part_box_only,R21A00137,,R21A00135;R21A00136;R21A00138,,"1233,1198,1251,1240","1233,1198,1251,1240","1107,1138,1287,1252",1242,1219,2.64,3.348,4.263649,38.256856,0,sar_image_pixel_domain
R21B00178,R21C00178,271,unresolved,R21A00138,,R21A00135;R21A00136;R21A00137,,"1245,1174,1275,1192","1245,1174,1275,1192","1107,1138,1287,1252",1260,1183,3.18,4.428,5.451567,35.684289,0,sar_image_pixel_domain
R21B00179,R21C00179,271,unresolved,R21A00135;R21A00136,,R21A00137;R21A00138,,"1107,1138,1287,1252","1107,1138,1287,1252","1107,1138,1287,1252",1197,1195,1.29,4.068,4.267637,17.594297,0,sar_image_pixel_domain
R21B00180,R21C00180,271,unresolved,R21A00135;R21A00137,,R21A00136;R21A00138,,"1107,1138,1287,1240","1107,1138,1287,1240","1107,1138,1287,1252",1197,1189,1.29,4.248,4.43955,16.892084,0,sar_image_pixel_domain
R21B00181,R21C00181,271,vehicle_response_box_supported,R21A00136;R21A00137,,R21A00135;R21A00138,,"1143,1198,1251,1252","1143,1198,1251,1252","1107,1138,1287,1252",1197,1225,1.29,3.168,3.420574,22.156004,0,sar_image_pixel_domain
R21B00182,R21C00182,271,vehicle_response_box_supported,R21A00135;R21A00136;R21A00137,,R21A00138,,"1107,1138,1287,1252","1107,1138,1287,1252","1107,1138,1287,1252",1197,1195,1.29,4.068,4.267637,17.594297,0,sar_image_pixel_domain
R21B00183,R21C00183,272,unresolved,R21A00139,,R21A00140;R21A00141;R21A00142;R21A00143;R21A00144,,"1107,1138,1251,1240","1107,1138,1251,1240","1107,1138,1287,1270",1179,1189,0.75,4.248,4.3137,10.012596,0,sar_image_pixel_domain
R21B00184,R21C00184,272,vehicle_response_box_possible,R21A00140,,R21A00139;R21A00141;R21A00142;R21A00144,R21A00143,"1143,1210,1197,1270","1143,1210,1197,1270","1107,1138,1281,1270",1170,1240,0.48,2.718,2.760059,10.015195,0,sar_image_pixel_domain
R21B00185,R21C00185,272,vehicle_part_box_only,R21A00141,,R21A00139;R21A00140;R21A00142;R21A00143;R21A00144,,"1239,1198,1257,1240","1239,1198,1257,1240","1107,1138,1287,1270",1248,1219,2.82,3.348,4.377386,40.107231,0,sar_image_pixel_domain
R21B00186,R21C00186,272,unresolved,R21A00142,,R21A00139;R21A00140;R21A00141;R21A00143;R21A00144,,"1257,1168,1281,1192","1257,1168,1281,1192","1107,1138,1287,1270",1269,1180,3.45,4.518,5.684613,37.365796,0,sar_image_pixel_domain
R21B00187,R21C00187,272,unresolved,R21A00143,,R21A00139;R21A00141;R21A00142;R21A00144,R21A00140,"1257,1138,1287,1156","1257,1138,1287,1156","1107,1138,1287,1240",1272,1147,3.54,5.508,6.547493,32.728917,0,sar_image_pixel_domain
R21B00188,R21C00188,272,unresolved,R21A00144,,R21A00139;R21A00140;R21A00141;R21A00142;R21A00143,,"1227,1144,1251,1156","1227,1144,1251,1156","1107,1138,1287,1270",1239,1150,2.55,5.418,5.98809,25.204179,0,sar_image_pixel_domain
R21B00189,R21C00189,272,unresolved,R21A00139;R21A00140,,R21A00141;R21A00142;R21A00143;R21A00144,,"1107,1138,1251,1270","1107,1138,1251,1270","1107,1138,1287,1270",1179,1204,0.75,3.798,3.871344,11.170612,0,sar_image_pixel_domain
R21B00190,R21C00190,272,unresolved,R21A00139;R21A00141,,R21A00140;R21A00142;R21A00143;R21A00144,,"1107,1138,1257,1240","1107,1138,1257,1240","1107,1138,1287,1270",1182,1189,0.84,4.248,4.330254,11.185377,0,sar_image_pixel_domain
R21B00191,R21C00191,273,vehicle_response_box_possible,R21A00145,,R21A00146;R21A00147;R21A00148,,"1115,1140,1259,1266","1115,1140,1259,1266","1115,1140,1289,1266",1187,1203,0.99,3.828,3.953945,14.500167,0,sar_image_pixel_domain
R21B00192,R21C00192,273,vehicle_part_box_only,R21A00146,,R21A00145;R21A00147;R21A00148,,"1241,1194,1259,1236","1241,1194,1259,1236","1115,1140,1289,1266",1250,1215,2.88,3.468,4.507929,39.70793,0,sar_image_pixel_domain
R21B00193,R21C00193,273,unresolved,R21A00147,,R21A00145;R21A00146;R21A00148,,"1265,1170,1283,1188","1265,1170,1283,1188","1115,1140,1289,1266",1274,1179,3.6,4.548,5.800371,38.363613,0,sar_image_pixel_domain
R21B00194,R21C00194,273,unresolved,R21A00148,,R21A00145;R21A00146;R21A00147,,"1259,1140,1289,1152","1259,1140,1289,1152","1115,1140,1289,1266",1274,1146,3.6,5.538,6.605259,33.026049,0,sar_image_pixel_domain
R21B00195,R21C00195,273,vehicle_response_box_supported,R21A00145;R21A00146,,R21A00147;R21A00148,,"1115,1140,1259,1266","1115,1140,1259,1266","1115,1140,1289,1266",1187,1203,0.99,3.828,3.953945,14.500167,0,sar_image_pixel_domain
R21B00196,R21C00196,276,unresolved,R21A00149,,R21A00150;R21A00151;R21A00152;R21A00153,,"1115,1140,1271,1242","1115,1140,1271,1242","1115,1140,1283,1266",1193,1191,1.17,4.188,4.348361,15.608749,0,sar_image_pixel_domain
R21B00197,R21C00197,276,vehicle_response_box_possible,R21A00150,,R21A00149;R21A00151;R21A00153,R21A00152,"1157,1212,1211,1242","1157,1212,1211,1242","1115,1140,1271,1266",1184,1227,0.9,3.108,3.235686,16.14971,0,sar_image_pixel_domain
R21B00198,R21C00198,276,vehicle_part_box_only,R21A00151,,R21A00149;R21A00150;R21A00152;R21A00153,,"1253,1194,1271,1236","1253,1194,1271,1236","1115,1140,1283,1266",1262,1215,3.24,3.468,4.746011,43.053308,0,sar_image_pixel_domain
R21B00199,R21C00199,276,unresolved,R21A00152,,R21A00149;R21A00151,R21A00150;R21A00153,"1271,1140,1283,1152","1271,1140,1283,1152","1115,1140,1283,1242",1277,1146,3.69,5.538,6.654738,33.67574,0,sar_image_pixel_domain
R21B00200,R21C00200,276,unresolved,R21A00153,,R21A00149;R21A00150;R21A00151,R21A00152,"1175,1254,1211,1266","1175,1254,1211,1266","1115,1140,1271,1266",1193,1260,1.17,2.118,2.419674,28.916609,0,sar_image_pixel_domain
R21B00201,R21C00201,276,unresolved,R21A00149;R21A00150,,R21A00151;R21A00152;R21A00153,,"1115,1140,1271,1242","1115,1140,1271,1242","1115,1140,1283,1266",1193,1191,1.17,4.188,4.348361,15.608749,0,sar_image_pixel_domain
R21B00202,R21C00202,276,unresolved,R21A00149;R21A00151,,R21A00150;R21A00152;R21A00153,,"1115,1140,1271,1242","1115,1140,1271,1242","1115,1140,1283,1266",1193,1191,1.17,4.188,4.348361,15.608749,0,sar_image_pixel_domain
R21B00203,R21C00203,276,vehicle_response_box_supported,R21A00150;R21A00151,,R21A00149;R21A00152;R21A00153,,"1157,1194,1271,1242","1157,1194,1271,1242","1115,1140,1283,1266",1214,1218,1.8,3.378,3.827647,28.051354,0,sar_image_pixel_domain
R21B00204,R21C00204,278,unresolved,R21A00154,,R21A00155;R21A00156,,"1121,1140,1277,1236","1121,1140,1277,1236","1121,1140,1289,1266",1199,1188,1.35,4.278,4.485954,17.51403,0,sar_image_pixel_domain
R21B00205,R21C00205,278,vehicle_response_box_possible,R21A00155,,R21A00154,R21A00156,"1163,1212,1217,1266","1163,1212,1217,1266","1121,1140,1277,1266",1190,1239,1.08,2.748,2.95261,21.455477,0,sar_image_pixel_domain
R21B00206,R21C00206,278,unresolved,R21A00156,,R21A00154,R21A00155,"1277,1140,1289,1158","1277,1140,1289,1158","1121,1140,1289,1236",1283,1149,3.87,5.448,6.682635,35.388174,0,sar_image_pixel_domain
R21B00207,R21C00207,278,unresolved,R21A00154;R21A00155,,R21A00156,,"1121,1140,1277,1266","1121,1140,1277,1266","1121,1140,1289,1266",1199,1203,1.35,3.828,4.059074,19.425941,0,sar_image_pixel_domain
R21B00208,R21C00208,279,unresolved,R21A00157,,R21A00158;R21A00159;R21A00160,,"1115,1140,1283,1236","1115,1140,1283,1236","1115,1140,1313,1266",1199,1188,1.35,4.278,4.485954,17.51403,0,sar_image_pixel_domain
R21B00209,R21C00209,279,vehicle_response_box_possible,R21A00158,,R21A00157,R21A00159;R21A00160,"1163,1212,1217,1266","1163,1212,1217,1266","1115,1140,1283,1266",1190,1239,1.08,2.748,2.95261,21.455477,0,sar_image_pixel_domain
R21B00210,R21C00210,279,unresolved,R21A00159,,R21A00157;R21A00160,R21A00158,"1259,1140,1289,1158","1259,1140,1289,1158","1115,1140,1313,1236",1274,1149,3.6,5.448,6.529985,33.456447,0,sar_image_pixel_domain
R21B00211,R21C00211,279,unresolved,R21A00160,,R21A00157;R21A00159,R21A00158,"1289,1170,1313,1200","1289,1170,1313,1200","1115,1140,1313,1236",1301,1185,4.41,4.368,6.207054,45.27414,0,sar_image_pixel_domain
R21B00212,R21C00212,279,unresolved,R21A00157;R21A00158,,R21A00159;R21A00160,,"1115,1140,1283,1266","1115,1140,1283,1266","1115,1140,1313,1266",1199,1203,1.35,3.828,4.059074,19.425941,0,sar_image_pixel_domain
R21B00213,R21C00213,280,unresolved,R21A00161,,R21A00162;R21A00163,,"1115,1140,1277,1236","1115,1140,1277,1236","1115,1140,1277,1266",1196,1188,1.26,4.278,4.459696,16.411291,0,sar_image_pixel_domain
