response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00076,R21C00076,77,unresolved,R21A00055;R21A00057,,R21A00056;R21A00058;R21A00059;R21A00060,,"1146,1133,1266,1187","1146,1133,1266,1187","1146,1133,1332,1271",1206,1160,1.56,5.118,5.35047,16.951566,0,sar_image_pixel_domain
R21B00077,R21C00077,78,vehicle_response_box_possible,R21A00062,,R21A00063;R21A00065;R21A00066;R21A00067,R21A00061;R21A00064,"1170,1187,1248,1271","1170,1187,1248,1271","1146,1175,1326,1271",1209,1229,1.65,3.048,3.465949,28.428393,0,sar_image_pixel_domain
R21B00078,R21C00078,78,vehicle_part_box_only,R21A00063,,R21A00062;R21A00064;R21A00065;R21A00067,R21A00061;R21A00066,"1224,1175,1260,1187","1224,1175,1260,1187","1170,1133,1326,1271",1242,1181,2.64,4.488,5.206894,30.465545,0,sar_image_pixel_domain
R21B00079,R21C00079,78,unresolved,R21A00064,,R21A00063;R21A00065;R21A00067,R21A00061;R21A00062;R21A00066,"1290,1133,1308,1151","1290,1133,1308,1151","1224,1133,1326,1205",1299,1142,4.35,5.658,7.136909,37.553908,0,sar_image_pixel_domain
R21B00080,R21C00080,78,unresolved,R21A00065,,R21A00062;R21A00063;R21A00064;R21A00067,R21A00061;R21A00066,"1302,1175,1326,1199","1302,1175,1326,1199","1170,1133,1326,1271",1314,1187,4.8,4.308,6.449718,48.092024,0,sar_image_pixel_domain
R21B00081,R21C00081,78,unresolved,R21A00066,,R21A00062;R21A00067,R21A00061;R21A00063;R21A00064;R21A00065,"1146,1247,1164,1271","1146,1247,1164,1271","1146,1187,1254,1271",1155,1259,0.03,2.148,2.148209,0.800168,0,sar_image_pixel_domain
R21B00082,R21C00082,78,unresolved,R21A00067,,R21A00062;R21A00063;R21A00064;R21A00065;R21A00066,R21A00061,"1242,1193,1254,1205","1242,1193,1254,1205","1146,1133,1326,1271",1248,1199,2.82,3.948,4.851711,35.537678,0,sar_image_pixel_domain
R21B00083,R21C00083,78,vehicle_response_box_possible,R21A00062;R21A00063,,R21A00064;R21A00065;R21A00066;R21A00067,R21A00061,"1170,1175,1260,1271","1170,1175,1260,1271","1146,1133,1326,1271",1215,1223,1.83,3.228,3.710645,29.549529,0,sar_image_pixel_domain
R21B00084,R21C00084,79,vehicle_response_box_possible,R21A00069,,R21A00070;R21A00071;R21A00072;R21A00073;R21A00074,R21A00068,"1194,1187,1254,1241","1194,1187,1254,1241","1146,1133,1308,1271",1224,1214,2.1,3.498,4.079951,30.978207,0,sar_image_pixel_domain
R21B00085,R21C00085,79,unresolved,R21A00070,,R21A00069;R21A00071;R21A00073,R21A00068;R21A00072;R21A00074,"1290,1133,1308,1145","1290,1133,1308,1145","1194,1133,1308,1241",1299,1139,4.35,5.748,7.208468,37.117888,0,sar_image_pixel_domain
R21B00086,R21C00086,79,vehicle_part_box_only,R21A00071,,R21A00069;R21A00070;R21A00072;R21A00073,R21A00068;R21A00074,"1230,1175,1260,1187","1230,1175,1260,1187","1170,1133,1308,1271",1245,1181,2.73,4.488,5.253099,31.31168,0,sar_image_pixel_domain
R21B00087,R21C00087,79,unresolved,R21A00072,,R21A00069;R21A00071;R21A00073;R21A00074,R21A00068;R21A00070,"1170,1247,1206,1271","1170,1247,1206,1271","1146,1175,1260,1271",1188,1259,1.02,2.148,2.377878,25.401189,0,sar_image_pixel_domain
R21B00088,R21C00088,79,unresolved,R21A00073,,R21A00069;R21A00070;R21A00071;R21A00072,R21A00068;R21A00074,"1242,1199,1260,1205","1242,1199,1260,1205","1170,1133,1308,1271",1251,1202,2.91,3.858,4.832418,37.026404,0,sar_image_pixel_domain
R21B00089,R21C00089,79,unresolved,R21A00074,,R21A00069;R21A00072,R21A00068;R21A00070;R21A00071;R21A00073,"1146,1247,1164,1271","1146,1247,1164,1271","1146,1187,1254,1271",1155,1259,0.03,2.148,2.148209,0.800168,0,sar_image_pixel_domain
R21B00090,R21C00090,79,vehicle_response_box_possible,R21A00069;R21A00071,,R21A00070;R21A00072;R21A00073;R21A00074,R21A00068,"1194,1175,1260,1241","1194,1175,1260,1241","1146,1133,1308,1271",1227,1208,2.19,3.678,4.280629,30.770935,0,sar_image_pixel_domain
R21B00091,R21C00091,79,unresolved,R21A00069;R21A00072,,R21A00070;R21A00071;R21A00073;R21A00074,R21A00068,"1170,1187,1254,1271","1170,1187,1254,1271","1146,1133,1308,1271",1212,1229,1.74,3.048,3.509687,29.720583,0,sar_image_pixel_domain
R21B00092,R21C00092,80,vehicle_part_box_only,R21A00075,,R21A00076;R21A00077;R21A00078;R21A00080;R21A00081,R21A00079,"1146,1133,1266,1163","1146,1133,1266,1163","1146,1133,1326,1271",1206,1148,1.56,5.478,5.695795,15.895653,0,sar_image_pixel_domain
R21B00093,R21C00093,80,vehicle_response_box_possible,R21A00076,,R21A00075;R21A00077;R21A00078;R21A00080;R21A00081,R21A00079,"1200,1181,1260,1241","1200,1181,1260,1241","1146,1133,1326,1271",1230,1211,2.28,3.588,4.251134,32.433979,0,sar_image_pixel_domain
R21B00094,R21C00094,80,vehicle_part_box_only,R21A00077,,R21A00075;R21A00076;R21A00080,R21A00078;R21A00079;R21A00081,"1146,1241,1212,1271","1146,1241,1212,1271","1146,1133,1266,1271",1179,1256,0.75,2.238,2.360327,18.527064,0,sar_image_pixel_domain
R21B00095,R21C00095,80,unresolved,R21A00078,,R21A00075;R21A00076;R21A00080;R21A00081,R21A00077;R21A00079,"1272,1163,1290,1187","1272,1163,1290,1187","1146,1133,1326,1241",1281,1175,3.81,4.668,6.025473,39.221164,0,sar_image_pixel_domain
R21B00096,R21C00096,80,vehicle_part_box_only,R21A00080,,R21A00075;R21A00076;R21A00077;R21A00078;R21A00081,R21A00079,"1236,1175,1266,1187","1236,1175,1266,1187","1146,1133,1326,1271",1251,1181,2.91,4.488,5.348854,32.959203,0,sar_image_pixel_domain
R21B00097,R21C00097,80,unresolved,R21A00081,,R21A00075;R21A00076;R21A00078;R21A00080,R21A00077;R21A00079,"1308,1175,1326,1199","1308,1175,1326,1199","1146,1133,1326,1241",1317,1187,4.89,4.308,6.516975,48.620542,0,sar_image_pixel_domain
R21B00098,R21C00098,80,vehicle_response_box_possible,R21A00075;R21A00076,,R21A00077;R21A00078;R21A00080;R21A00081,R21A00079,"1146,1133,1266,1241","1146,1133,1266,1241","1146,1133,1326,1271",1206,1187,1.56,4.308,4.581753,19.906182,0,sar_image_pixel_domain
R21B00099,R21C00099,80,unresolved,R21A00075;R21A00077,,R21A00076;R21A00078;R21A00080;R21A00081,R21A00079,"1146,1133,1266,1271","1146,1133,1266,1271","1146,1133,1326,1271",1206,1202,1.56,3.858,4.161462,22.016172,0,sar_image_pixel_domain
R21B00100,R21C00100,81,vehicle_response_box_possible,R21A00083,,R21A00084;R21A00085;R21A00086,R21A00082,"1200,1181,1260,1241","1200,1181,1260,1241","1176,1133,1314,1271",1230,1211,2.28,3.588,4.251134,32.433979,0,sar_image_pixel_domain
