interval_id,physical_vehicle_id,method,direction,source_pair_id,target_pair_id,sar_frame,propagation_status,propagated_region,search_window,local_response_center,visible_response_coverage,masked_overlap_coverage,local_search_ratio,stop_reason
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,44,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,45,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,46,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,47,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,48,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,49,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,50,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,51,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,52,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,53,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
