pair_id,scene,split_role,variant,time_start,time_end,sar_frame_center,azimuth_min,azimuth_max,azimuth_center,radial_min,radial_max,rho_center,rho_low_50,rho_high_50,rho_low_80,rho_high_80,rho_low_95,rho_high_95,heading_state,visibility_uncertainty,field_rule
WGV35A_PAIR_0162,GM_RM017,train,P2,371,388,379.1667,3.637867,11.637867,7.637867,295.365417,490.099417,392.732417,374.732417,410.732417,356.732417,428.732417,295.365417,490.099417,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0164,GM_RM017,validation,P2,371,388,379.1667,-16.762188,-8.762188,-12.762188,384.289818,561.976318,473.133068,455.133068,491.133068,437.133068,509.133068,384.289818,561.976318,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0165,GM_RM017,train,P2,371,388,379.1667,3.637475,11.637475,7.637475,294.796171,489.530171,392.163171,374.163171,410.163171,356.163171,428.163171,294.796171,489.530171,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0167,GM_RM017,validation,P2,373,390,381.25,-14.990343,-6.990343,-10.990343,384.084268,561.505268,472.794768,454.794768,490.794768,436.794768,508.794768,384.084268,561.505268,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0168,GM_RM017,train,P2,373,390,381.25,5.334697,14.534697,9.934697,284.062747,502.721247,393.391997,372.391997,414.391997,351.391997,435.391997,284.062747,502.721247,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=multiple_observations,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0169,GM_RM017,validation,P2,373,390,381.25,-14.990441,-6.990441,-10.990441,384.083018,561.506518,472.794768,454.794768,490.794768,436.794768,508.794768,384.083018,561.506518,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0170,GM_RM017,train,P2,373,390,381.25,5.334893,14.534893,9.934893,284.68684,503.34934,394.01809,373.01809,415.01809,352.01809,436.01809,284.68684,503.34934,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=multiple_observations,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0171,GM_RM017,validation,P2,375,392,383.3333,-13.244383,-5.244383,-9.244383,385.966096,563.818596,474.892346,456.892346,492.892346,438.892346,510.892346,385.966096,563.818596,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0172,GM_RM017,train,P2,375,392,383.3333,8.011983,16.011983,12.011983,299.487222,495.378222,397.432722,379.432722,415.432722,361.432722,433.432722,299.487222,495.378222,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0173,GM_RM017,test,P2,375,392,383.3333,26.670377,39.470377,33.070377,400.171471,636.315471,518.243471,492.243471,544.243471,466.243471,570.243471,400.171471,636.315471,unknown,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0174,GM_RM017,validation,P2,375,392,383.3333,-13.244383,-5.244383,-9.244383,385.964846,563.819846,474.892346,456.892346,492.892346,438.892346,510.892346,385.964846,563.819846,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0175,GM_RM017,train,P2,375,392,383.3333,8.011787,16.011787,12.011787,299.486472,495.378972,397.432722,379.432722,415.432722,361.432722,433.432722,299.486472,495.378972,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0176,GM_RM017,test,P2,375,392,383.3333,26.670475,39.470475,33.070475,400.172471,636.314471,518.243471,492.243471,544.243471,466.243471,570.243471,400.172471,636.314471,unknown,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0177,GM_RM017,validation,P2,377,394,385.4167,-11.353499,-3.353499,-7.353499,392.237519,570.789019,481.513269,463.513269,499.513269,445.513269,517.513269,392.237519,570.789019,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0178,GM_RM017,train,P2,377,394,385.4167,9.650471,18.850471,14.250471,291.01462,511.38912,401.20187,380.20187,422.20187,359.20187,443.20187,291.01462,511.38912,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=multiple_observations,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0179,GM_RM017,validation,P2,377,394,385.4167,-11.353499,-3.353499,-7.353499,392.235269,570.791269,481.513269,463.513269,499.513269,445.513269,517.513269,392.235269,570.791269,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0180,GM_RM017,train,P2,377,394,385.4167,9.650471,18.850471,14.250471,291.520967,511.899967,401.710467,380.710467,422.710467,359.710467,443.710467,291.520967,511.899967,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=multiple_observations,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0181,GM_RM017,train,P2,379,396,387.5,12.422673,20.422673,16.422673,306.535307,503.345807,404.940557,386.940557,422.940557,368.940557,440.940557,306.535307,503.345807,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0182,GM_RM017,validation,P2,379,396,387.5,-7.967675,0.032325,-3.967675,407.388089,584.178089,495.783089,477.783089,513.783089,459.783089,531.783089,407.388089,584.178089,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0183,GM_RM017,train,P2,379,396,387.5,12.422869,20.422869,16.422869,306.930457,503.736957,405.333707,387.333707,423.333707,369.333707,441.333707,306.930457,503.736957,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0184,GM_RM017,validation,P2,379,396,387.5,-10.985206,-2.985206,-6.985206,378.308231,559.126231,468.717231,450.717231,486.717231,432.717231,504.717231,378.308231,559.126231,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0185,GM_RM017,train,P2,381,398,389.5833,14.786082,22.786082,18.786082,306.786207,503.881207,405.333707,387.333707,423.333707,369.333707,441.333707,306.786207,503.881207,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
