atom_id,sar_frame,candidate_role,role_rule_provenance,role_inputs,polarity_used,physical_vehicle_id_used,gt_used
R1A0191,288,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=1110;peak=137;axis1=155.260747;axis2=78.783303;compactness=0.076132;arc=0.673672,false,false,false
R1A0192,288,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_288,area=168;peak=101;axis1=36.724321;axis2=13.60907;compactness=0.145833;arc=0.004717,false,false,false
R1A0193,288,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=33;peak=79;axis1=12.031547;axis2=5.918593;compactness=0.152778;arc=0.029518,false,false,false
R1A0194,288,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=22;peak=61;axis1=34.148758;axis2=16.39425;compactness=0.025463;arc=0.382791,false,false,false
R1A0195,289,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=1184;peak=104;axis1=156.311168;axis2=81.842895;compactness=0.081207;arc=0.641594,false,false,false
R1A0196,289,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=16;peak=62;axis1=33.413329;axis2=6.214185;compactness=0.055556;arc=0,false,false,false
R1A0197,289,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_288,area=170;peak=89;axis1=24.60178;axis2=13.860993;compactness=0.236111;arc=0.116163,false,false,false
R1A0198,289,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=21;peak=60;axis1=6.515021;axis2=5.323105;compactness=0.291667;arc=0,false,false,false
R1A0199,289,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_288,area=48;peak=54;axis1=59.765209;axis2=21.43916;compactness=0.033333;arc=0.517772,false,false,false
R1A0200,290,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=1251;peak=95;axis1=159.897713;axis2=80.768374;compactness=0.082738;arc=0.555552,false,false,false
R1A0201,290,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=161;peak=82;axis1=33.131003;axis2=23.688794;compactness=0.111806;arc=0.023581,false,false,false
R1A0202,290,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_288,area=79;peak=52;axis1=58.614446;axis2=24.503114;compactness=0.036574;arc=0.463351,false,false,false
