family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00083,R21B00116,R21C00116,220,single_member_family,unresolved,R21A00095,,R21A00094,"993,1156,1017,1174","993,1126,1132,1240"
R21R1F00084,R21B00117,R21C00117,224,high_iou_boundary_variant,unresolved,R21A00096,,R21A00097;R21A00098,"1005,1126,1132,1234","1005,1126,1132,1240"
R21R1F00084,R21B00120,R21C00120,224,exact_duplicate_bbox;high_iou_boundary_variant,unresolved,R21A00096;R21A00097,,R21A00098,"1005,1126,1132,1240","1005,1126,1132,1240"
R21R1F00084,R21B00121,R21C00121,224,exact_duplicate_bbox;high_iou_boundary_variant,unresolved,R21A00096;R21A00098,,R21A00097,"1005,1126,1132,1240","1005,1126,1132,1240"
R21R1F00084,R21B00123,R21C00123,224,exact_duplicate_bbox;high_iou_boundary_variant,unresolved,R21A00096;R21A00097;R21A00098,,,"1005,1126,1132,1240","1005,1126,1132,1240"
R21R1F00085,R21B00118,R21C00118,224,nested_same_core_variant,vehicle_part_box_only,R21A00097,,R21A00096;R21A00098,"1041,1210,1065,1240","1005,1126,1132,1240"
R21R1F00085,R21B00122,R21C00122,224,nested_same_core_variant,unresolved,R21A00097;R21A00098,,R21A00096,"1011,1210,1065,1240","1005,1126,1132,1240"
R21R1F00086,R21B00119,R21C00119,224,single_member_family,vehicle_part_box_only,R21A00098,,R21A00096;R21A00097,"1011,1228,1029,1240","1005,1126,1132,1240"
R21R1F00087,R21B00124,R21C00124,227,high_iou_boundary_variant,unresolved,R21A00099,,R21A00100;R21A00101,"1017,1126,1132,1234","1017,1126,1132,1240"
R21R1F00087,R21B00127,R21C00127,227,high_iou_boundary_variant,unresolved,R21A00099;R21A00100,,R21A00101,"1017,1126,1132,1240","1017,1126,1132,1240"
R21R1F00088,R21B00125,R21C00125,227,single_member_family,vehicle_part_box_only,R21A00100,,R21A00099;R21A00101,"1047,1204,1077,1240","1017,1126,1132,1240"
R21R1F00089,R21B00126,R21C00126,227,single_member_family,unresolved,R21A00101,,R21A00099;R21A00100,"1023,1228,1041,1240","1017,1126,1132,1240"
R21R1F00090,R21B00128,R21C00128,228,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00102,,R21A00103;R21A00104,"1023,1126,1132,1240","1023,1126,1132,1240"
R21R1F00090,R21B00129,R21C00129,228,nested_same_core_variant,vehicle_response_box_possible,R21A00103,,R21A00102;R21A00104,"1053,1204,1083,1240","1023,1126,1132,1240"
R21R1F00090,R21B00131,R21C00131,228,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00102;R21A00103,,R21A00104,"1023,1126,1132,1240","1023,1126,1132,1240"
R21R1F00091,R21B00130,R21C00130,228,single_member_family,unresolved,R21A00104,,R21A00102;R21A00103,"1023,1228,1041,1240","1023,1126,1132,1240"
R21R1F00092,R21B00132,R21C00132,238,single_member_family,vehicle_response_box_possible,R21A00105,,R21A00106,"1051,1135,1177,1255","1051,1135,1177,1255"
R21R1F00093,R21B00133,R21C00133,238,single_member_family,unresolved,R21A00106,,R21A00105,"1063,1231,1075,1243","1051,1135,1177,1255"
R21R1F00094,R21B00134,R21C00134,239,single_member_family,vehicle_response_box_possible,R21A00107,,R21A00108;R21A00109,"1051,1135,1177,1255","1051,1135,1177,1255"
R21R1F00095,R21B00135,R21C00135,239,single_member_family,vehicle_response_box_possible,R21A00108,,R21A00107;R21A00109,"1087,1201,1111,1237","1051,1135,1177,1255"
R21R1F00096,R21B00136,R21C00136,239,single_member_family,unresolved,R21A00109,,R21A00107;R21A00108,"1063,1231,1075,1243","1051,1135,1177,1255"
R21R1F00097,R21B00137,R21C00137,243,single_member_family,vehicle_response_box_possible,R21A00110,,R21A00111;R21A00112,"1063,1135,1195,1249","1063,1135,1195,1249"
R21R1F00098,R21B00138,R21C00138,243,single_member_family,unresolved,R21A00111,,R21A00110,"1075,1231,1087,1243","1063,1135,1195,1249"
R21R1F00099,R21B00139,R21C00139,243,single_member_family,unresolved,R21A00112,,R21A00110,"1177,1165,1195,1177","1063,1135,1195,1249"
R21R1F00100,R21B00140,R21C00140,250,single_member_family,vehicle_response_box_possible,R21A00113,,R21A00114;R21A00115,"1099,1135,1201,1261","1099,1135,1218,1261"
R21R1F00101,R21B00141,R21C00141,250,single_member_family,unresolved,R21A00114,,R21A00113;R21A00115,"1183,1165,1201,1189","1099,1135,1218,1261"
R21R1F00102,R21B00142,R21C00142,250,single_member_family,unresolved,R21A00115,,R21A00113;R21A00114,"1195,1135,1218,1153","1099,1135,1218,1261"
R21R1F00103,R21B00143,R21C00143,259,high_iou_boundary_variant,vehicle_response_box_possible,R21A00116,,R21A00117;R21A00118,"1069,1135,1189,1255","1069,1135,1218,1255"
R21R1F00103,R21B00146,R21C00146,259,exact_duplicate_bbox;high_iou_boundary_variant,unresolved,R21A00116;R21A00117,,R21A00118,"1069,1135,1218,1255","1069,1135,1218,1255"
R21R1F00103,R21B00147,R21C00147,259,exact_duplicate_bbox;high_iou_boundary_variant,vehicle_response_box_supported,R21A00116;R21A00118,,R21A00117,"1069,1135,1218,1255","1069,1135,1218,1255"
R21R1F00103,R21B00149,R21C00149,259,exact_duplicate_bbox;high_iou_boundary_variant,vehicle_response_box_supported,R21A00116;R21A00117;R21A00118,,,"1069,1135,1218,1255","1069,1135,1218,1255"
