core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0051,272,R1A0160,isolated_small_atom,uncertain_bbox_membership,62.641839,114.74992,false,true,false,0.716486,near_but_not_decisive_optional_response
R2C0051,272,R1A0161,endpoint_hotspot_candidate,uncertain_bbox_membership,42,75.924189,false,true,false,0.356902,near_but_not_decisive_optional_response
R2C0052,272,R1A0159,isolated_small_atom,include_in_bbox,0,104.790915,false,true,false,0.092501,near_core_compatible_optional_response
R2C0052,272,R1A0160,isolated_small_atom,include_in_bbox,6,89.532454,false,true,false,0.052721,near_core_compatible_optional_response
R2C0053,273,R1A0163,unresolved_atom,include_in_bbox,0,60.510058,false,true,false,0.157407,near_core_compatible_optional_response
R2C0053,273,R1A0164,isolated_small_atom,uncertain_bbox_membership,42,74.423468,false,true,false,0.726562,near_but_not_decisive_optional_response
R2C0053,273,R1A0165,isolated_small_atom,include_in_bbox,8.485281,42.064616,false,true,false,0.532468,near_core_compatible_optional_response
R2C0054,276,R1A0167,unresolved_atom,include_in_bbox,0,41.560228,false,true,false,0,near_core_compatible_optional_response
R2C0054,276,R1A0168,isolated_small_atom,exclude_from_bbox,84.852814,124.011113,false,true,false,0.798319,too_far_or_would_expand_blank_area
R2C0054,276,R1A0169,endpoint_hotspot_candidate,uncertain_bbox_membership,42,76.800585,false,true,false,0.414474,near_but_not_decisive_optional_response
R2C0055,276,R1A0168,isolated_small_atom,include_in_bbox,0,90.261229,false,true,false,0,near_core_compatible_optional_response
R2C0056,278,R1A0171,unresolved_atom,include_in_bbox,0,59.634361,false,true,false,0.141636,near_core_compatible_optional_response
R2C0056,278,R1A0172,isolated_small_atom,exclude_from_bbox,80.721744,130.274982,false,true,false,0.82842,too_far_or_would_expand_blank_area
R2C0057,278,R1A0172,isolated_small_atom,include_in_bbox,0,100.19443,false,true,false,0.193311,near_core_compatible_optional_response
R2C0058,279,R1A0174,unresolved_atom,include_in_bbox,0,60.128456,false,true,false,0.224574,near_core_compatible_optional_response
R2C0058,279,R1A0175,isolated_small_atom,uncertain_bbox_membership,68.410526,123.398359,false,true,false,0.808768,near_but_not_decisive_optional_response
R2C0058,279,R1A0176,endpoint_hotspot_candidate,uncertain_bbox_membership,48,83.100869,false,true,false,0.609649,near_but_not_decisive_optional_response
R2C0059,279,R1A0175,isolated_small_atom,include_in_bbox,0,94.756058,false,true,false,0.240832,near_core_compatible_optional_response
R2C0060,280,R1A0178,unresolved_atom,include_in_bbox,0,59.088767,false,true,false,0.155203,near_core_compatible_optional_response
R2C0060,280,R1A0179,isolated_small_atom,uncertain_bbox_membership,68.410526,117.810419,false,true,false,0.754386,near_but_not_decisive_optional_response
R2C0061,280,R1A0179,isolated_small_atom,include_in_bbox,0,90.870444,false,true,false,0.142857,near_core_compatible_optional_response
R2C0062,281,R1A0181,unresolved_atom,include_in_bbox,0,61.797891,false,true,false,0.044077,near_core_compatible_optional_response
R2C0062,281,R1A0182,isolated_small_atom,exclude_from_bbox,85.276022,130.151849,false,true,false,0.829004,too_far_or_would_expand_blank_area
