pair_id,sar_frame,split,selected_center_x,selected_center_y,body_axis_proxy_deg,body_axis_axial_ci_low_deg,body_axis_axial_ci_high_deg,body_axis_axial_ci_width_deg,method_consensus_axial_mad_deg,speed_px_per_sar_frame,along_track_residual_px,cross_track_residual_px,total_residual_px,support_frame_count,support_frames,trajectory_gap_size,local_displacement_sign_stability,duplicate_conflict_status,identity_consistency_status,heading_observability_status,observability_thresholds,threshold_source,diagnostic_scope
WGV35A_PAIR_0056,344,calibration,977.092,940.874,1.177117,0.525038,1.128385,0.603346,0.521871,6.442917,1.976129,1.887718,2.732868,17,336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0060,345,calibration,980.185,940.116,0.898391,0.374042,1.400576,1.026535,0.273758,6.378268,1.866303,1.907618,2.668725,17,337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0063,346,calibration,989.475,940.1555,0.905285,0.601383,1.666118,1.064734,1.032911,6.395617,1.875197,1.941529,2.69924,17,338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0065,347,calibration,995.919,940.452,0.184771,0.262673,1.246644,0.983971,0.964334,6.438326,1.765431,1.963106,2.640176,17,339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0068,348,calibration,1000.25,943.5,0.443803,0.586695,1.278814,0.692119,0.791188,6.43951,1.764099,1.927516,2.612922,17,340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0073,349,calibration,1006.863,944.274,0.762037,0.976565,1.4583,0.481735,0.605917,6.557823,1.985426,1.733481,2.635692,17,341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0076,350,calibration,1018.893,940.828,0.885485,1.141817,1.582057,0.440241,0.557641,6.585634,2.056586,1.734321,2.690245,17,342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0079,351,calibration,1017.529,941.4945,1.427527,1.395129,1.738197,0.343068,0.148292,6.530048,2.04095,1.725541,2.672633,17,343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0082,352,calibration,1027.3575,946.583,1.736076,0.967606,1.554975,0.587369,0.563268,6.584545,2.042775,1.78409,2.712177,17,344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0085,353,calibration,1032.996,944.2655,2.093262,0.503797,1.50677,1.002973,1.27296,6.70188,2.113601,1.798669,2.775341,17,345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0087,354,calibration,1040.45,944.803,1.966074,179.955822,1.174874,1.219052,1.635002,6.633217,2.183058,1.743031,2.793546,17,346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0090,355,calibration,1045.6575,942.1155,0.953375,178.98567,0.09341,1.10774,1.652211,6.802109,2.599687,1.769576,3.144801,17,347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0094,356,calibration,1052.196,942.44,0.34667,178.43799,179.435763,0.997773,1.647601,6.925682,2.624041,1.584441,3.065296,17,348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0097,357,calibration,1063.929,940.219,179.804833,178.415052,179.384779,0.969728,1.06116,6.873498,2.728129,1.590451,3.157883,17,349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0100,358,calibration,1069.6455,943.937,179.75846,178.716922,179.473683,0.756761,0.778644,7.003785,3.04523,1.598714,3.439377,17,350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0103,359,calibration,1072.523,943.8065,179.808134,178.467072,179.542857,1.075786,0.940972,7.15255,2.538792,1.538465,2.968559,17,351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367,1,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0106,360,calibration,1081.56,941.827,179.276695,178.379647,179.200974,0.821327,0.57643,7.130064,2.532356,1.461446,2.923808,17,352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368,1,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0109,361,guard,1090.856,942.248,179.292442,179.072479,179.572704,0.500225,0.380228,6.946169,3.504725,1.279857,3.731103,17,353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0112,362,guard,1092.105,942.314,179.317229,179.578593,0.07544,0.496847,0.646259,6.922927,3.500413,1.326173,3.743211,17,354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0115,363,guard,1107.7095,939.297,179.704501,0.159778,0.751382,0.591604,0.859998,6.814437,3.679387,1.205924,3.871968,17,355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0118,364,guard,1112.883,941.254,179.481224,179.890239,0.641062,0.750823,0.896711,6.823069,3.69923,1.243805,3.902736,17,356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
