frame_a,frame_b,pair_type,time_delta_frames,aspect_delta_deg,corrected_range_delta_m,axis_pair_reliable,registration_pair_reliable,frame_a_axis_reliability,frame_b_axis_reliability,used_for_identifiability
353,366,different_aspect_similar_range;similar_range_different_aspect,13,15.892481,0.464284,true,true,HIGH,HIGH,true
353,367,different_aspect_similar_range;similar_range_different_aspect,14,15.05,0.511404,true,true,HIGH,HIGH,true
353,368,different_aspect_similar_range;similar_range_different_aspect,15,15.728111,0.502767,true,true,HIGH,MEDIUM,true
353,369,different_aspect_similar_range;similar_range_different_aspect,16,15.639735,0.482355,true,true,HIGH,MEDIUM,true
353,370,different_aspect_similar_range;similar_range_different_aspect,17,16.5495,0.544679,true,true,HIGH,MEDIUM,true
353,371,different_aspect_similar_range;similar_range_different_aspect,18,16.804976,0.539477,true,true,HIGH,MEDIUM,true
353,372,different_aspect_similar_range;similar_range_different_aspect,19,19.165297,0.463935,true,true,HIGH,MEDIUM,true
353,373,different_aspect_similar_range;similar_range_different_aspect,20,18.058793,0.515502,true,true,HIGH,MEDIUM,true
353,374,different_aspect_similar_range;similar_range_different_aspect,21,16.284238,0.521694,true,true,HIGH,MEDIUM,true
353,375,different_aspect_similar_range;similar_range_different_aspect,22,15.675568,0.60219,true,true,HIGH,MEDIUM,true
353,376,different_aspect_similar_range;similar_range_different_aspect,23,15.925557,0.564693,true,true,HIGH,MEDIUM,true
353,377,different_aspect_similar_range,24,12.049456,0.45775,true,true,HIGH,MEDIUM,true
353,378,different_aspect_similar_range,25,12.502621,0.523615,true,true,HIGH,MEDIUM,true
353,379,different_aspect_similar_range,26,10.234685,0.379506,true,true,HIGH,MEDIUM,true
353,383,non_adjacent_similar_aspect,30,3.188619,0.194058,true,true,HIGH,MEDIUM,true
353,385,non_adjacent_similar_aspect,32,2.68745,0.09201,true,true,HIGH,MEDIUM,true
353,386,non_adjacent_similar_aspect,33,3.110093,0.080138,true,true,HIGH,MEDIUM,true
353,387,non_adjacent_similar_aspect,34,3.700761,0.069691,true,true,HIGH,MEDIUM,true
