family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00096,239,R21B00136,R21B00136,1,0,1,equal,single_member_family,true,,SL000239_003,false
R21R1F00097,243,R21B00137,R21B00137,1,0,1,equal,single_member_family,true,,SL000243_001,false
R21R1F00098,243,R21B00138,R21B00138,1,0,1,equal,single_member_family,true,,SL000243_002,false
R21R1F00099,243,R21B00139,R21B00139,1,0,1,equal,single_member_family,true,,SL000243_003,false
R21R1F00100,250,R21B00140,R21B00140,1,0,1,equal,single_member_family,true,,SL000250_001,false
R21R1F00101,250,R21B00141,R21B00141,1,0,1,equal,single_member_family,true,,SL000250_002,false
R21R1F00102,250,R21B00142,R21B00142,1,0,1,equal,single_member_family,true,,SL000250_003,false
R21R1F00103,259,R21B00143,R21B00146,0.805369,14.5,1,a_subset_b,high_iou_boundary_variant,true,,SL000259_001,true
R21R1F00103,259,R21B00143,R21B00147,0.805369,14.5,1,a_subset_b,high_iou_boundary_variant,true,,SL000259_001,true
R21R1F00103,259,R21B00143,R21B00149,0.805369,14.5,1,a_subset_b,high_iou_boundary_variant,true,,SL000259_001,true
R21R1F00103,259,R21B00146,R21B00147,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000259_001,true
R21R1F00103,259,R21B00146,R21B00149,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000259_001,true
R21R1F00103,259,R21B00147,R21B00149,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000259_001,true
R21R1F00104,259,R21B00144,R21B00148,0.4375,27,1,a_subset_b,nested_same_core_variant,true,,SL000259_001,true
R21R1F00105,259,R21B00145,R21B00145,1,0,1,equal,single_member_family,true,,SL000259_001,false
R21R1F00106,260,R21B00150,R21B00153,0.5,30,1,a_subset_b,nested_same_core_variant,true,,SL000260_001,true
