pair_id,sar_frame,timestamp_or_sequence_index,split,physical_vehicle_id,center_x,center_y,body_width_px,body_height_px,body_length_m_grid,body_width_m_grid,motion_tangent_image_deg,motion_tangent_uncertainty_deg,body_axis_proxy_deg,body_axis_proxy_source,body_axis_proxy_uncertainty_deg,local_range_axis_image_deg,relative_aspect_angle_deg,aspect_domain_status,aspect_observability_status,absolute_range_from_radar_m,absolute_azimuth_deg,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,plan_stage_input_role
WGV35A_PAIR_0056,344,344,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,977.092,940.874,158.83115,69.254939,4.764934,2.077648,0.762201,0.991016,1.177117,E0_R2_two_sided_trajectory_body_axis_proxy,0.603346,65.585316,64.408199,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.839958,-114.414684,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0060,345,345,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,980.185,940.116,158.83115,69.254939,4.764934,2.077648,0.875059,3.253752,0.898391,E0_R2_two_sided_trajectory_body_axis_proxy,1.026535,66.004859,65.106468,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.822654,-113.995141,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0063,346,346,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,989.475,940.1555,158.83115,69.254939,4.764934,2.077648,1.157978,4.863912,0.905285,E0_R2_two_sided_trajectory_body_axis_proxy,1.064734,67.150478,66.245193,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.710777,-112.849522,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0065,347,347,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,995.919,940.452,158.83115,69.254939,4.764934,2.077648,0.828961,5.551615,0.184771,E0_R2_two_sided_trajectory_body_axis_proxy,0.983971,67.943088,67.758317,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.62872,-112.056912,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0068,348,348,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1000.25,943.5,158.83115,69.254939,4.764934,2.077648,0.992332,3.365817,0.443803,E0_R2_two_sided_trajectory_body_axis_proxy,0.692119,68.337806,67.894003,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.495476,-111.662194,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0073,349,349,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1006.863,944.274,158.83115,69.254939,4.764934,2.077648,1.272411,1.049135,0.762037,E0_R2_two_sided_trajectory_body_axis_proxy,0.481735,69.15005,68.388013,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.40191,-110.84995,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0076,350,350,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1018.893,940.828,158.83115,69.254939,4.764934,2.077648,1.422754,0.358474,0.885485,E0_R2_two_sided_trajectory_body_axis_proxy,0.440241,70.882106,69.996621,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.375722,-109.117894,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0079,351,351,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1017.529,941.4945,158.83115,69.254939,4.764934,2.077648,1.575819,0.541786,1.427527,E0_R2_two_sided_trajectory_body_axis_proxy,0.343068,70.672697,69.24517,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.370315,-109.327303,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0082,352,352,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1027.3575,946.583,158.83115,69.254939,4.764934,2.077648,1.172808,3.62536,1.736076,E0_R2_two_sided_trajectory_body_axis_proxy,0.587369,71.748293,70.012217,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.130814,-108.251707,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0085,353,353,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1032.996,944.2655,158.83115,69.254939,4.764934,2.077648,0.820302,4.393815,2.093262,E0_R2_two_sided_trajectory_body_axis_proxy,1.002973,72.608899,70.515637,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.145233,-107.391101,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
