edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00043,32,R21A00023,R21A00026,30,49.863065,40.152435,11.627228,31.242394,1.968586,unresolved_local_response,true,false,accepted_local_relation
R21GE00044,32,R21A00023,R21A00027,0,25.05281,17.009964,5.958376,70.212381,3.195467,role_ambiguous,false,false,blocked_by_role
R21GE00045,32,R21A00024,R21A00025,83.57033,103.163472,54.493195,30.486117,69.492059,1.432292,unresolved_local_response,true,false,blocked_by_geometry
R21GE00046,32,R21A00024,R21A00026,72,89.884507,68.78653,21.102805,58.710854,1.631763,unresolved_local_response,true,false,blocked_by_geometry
R21GE00047,32,R21A00024,R21A00027,25.455844,52.426488,11.62413,15.433953,19.834372,2.648725,role_ambiguous,false,false,blocked_by_role
R21GE00048,32,R21A00025,R21A00026,12,26.193704,14.293335,9.383312,51.797087,1.139267,endpoint_to_endpoint,true,false,accepted_local_relation
R21GE00049,32,R21A00025,R21A00027,48,60.168353,42.869064,15.052164,49.657688,1.849292,role_ambiguous,false,false,blocked_by_role
R21GE00050,32,R21A00026,R21A00027,42,59.075762,57.162399,5.668852,78.545226,1.623229,role_ambiguous,false,false,blocked_by_role
R21GE00051,34,R21A00028,R21A00029,36,89.787717,8.514282,37.990995,88.406766,10.906551,body_to_endpoint,true,false,ambiguous_relation
R21GE00052,34,R21A00028,R21A00030,120,178.190198,121.316116,41.305219,71.651005,14.650027,body_to_side,true,false,blocked_by_geometry
R21GE00053,34,R21A00028,R21A00031,0,66.317549,62.554276,6.412403,73.518957,16.311156,unresolved_local_response,true,false,accepted_local_relation
R21GE00054,34,R21A00028,R21A00032,6,59.751306,9.599022,26.585851,31.216082,20.671979,body_to_endpoint,true,false,accepted_local_relation
R21GE00055,34,R21A00028,R21A00033,6,55.290203,31.742462,17.133617,23.490333,20.805692,unresolved_local_response,true,false,accepted_local_relation
