independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0045,GM_RM019,32,32,"1048,1165,1072,1177","1048,1165,1072,1177",1,R21B00037,R21B00037,true
GM019IG0046,GM_RM019,39,39,"1048,1165,1192,1276","1048,1165,1192,1276",1,R21B00054,R21B00054,true
GM019IG0047,GM_RM019,39,39,"1048,1207,1078,1225","1048,1207,1078,1225",1,R21B00051,R21B00051,true
GM019IG0048,GM_RM019,39,39,"1048,1207,1102,1231","1048,1207,1102,1231",1,R21B00055,R21B00055,true
GM019IG0049,GM_RM019,32,32,"1048,1225,1060,1243","1048,1225,1060,1243",1,R21B00035,R21B00035,true
GM019IG0050,GM_RM019,238,238;239,"1051,1135,1177,1255","1051,1135,1177,1255",2,R21B00132;R21B00134,R21B00132,true
GM019IG0051,GM_RM019,228,228,"1053,1204,1083,1240","1053,1204,1083,1240",1,R21B00129,R21B00129,true
GM019IG0052,GM_RM019,40,40,"1054,1207,1108,1237","1054,1207,1108,1237",1,R21B00059,R21B00059,true
GM019IG0053,GM_RM019,243,243,"1063,1135,1195,1249","1063,1135,1195,1249",1,R21B00137,R21B00137,true
GM019IG0054,GM_RM019,238,238;239,"1063,1231,1075,1243","1063,1231,1075,1243",2,R21B00133;R21B00136,R21B00133,true
GM019IG0055,GM_RM019,30,30,"1066,1203,1162,1245","1066,1203,1162,1245",1,R21B00023,R21B00023,true
GM019IG0056,GM_RM019,31,31,"1066,1219,1084,1237","1066,1219,1084,1237",1,R21B00027,R21B00027,true
GM019IG0057,GM_RM019,30,30,"1066,1221,1084,1239","1066,1221,1084,1239",1,R21B00019,R21B00019,true
GM019IG0058,GM_RM019,259,259,"1069,1135,1189,1255","1069,1135,1189,1255",1,R21B00143,R21B00143,true
GM019IG0059,GM_RM019,259,259,"1069,1135,1218,1255","1069,1135,1218,1255",3,R21B00146;R21B00147;R21B00149,R21B00146,true
