independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0194,GM_RM019,77,77,"1260,1151,1284,1187","1260,1151,1284,1187",1,R21B00072,R21B00072,true
GM019IG0195,GM_RM019,269,269,"1263,1138,1281,1150","1263,1138,1281,1150",1,R21B00163,R21B00163,true
GM019IG0196,GM_RM019,281,281,"1265,1140,1301,1158","1265,1140,1301,1158",1,R21B00220,R21B00220,true
GM019IG0197,GM_RM019,280,280,"1265,1146,1277,1158","1265,1146,1277,1158",1,R21B00215,R21B00215,true
GM019IG0198,GM_RM019,273,273,"1265,1170,1283,1188","1265,1170,1283,1188",1,R21B00193,R21B00193,true
GM019IG0199,GM_RM019,270,270,"1269,1138,1287,1150","1269,1138,1287,1150",1,R21B00171,R21B00171,true
GM019IG0200,GM_RM019,276,276,"1271,1140,1283,1152","1271,1140,1283,1152",1,R21B00199,R21B00199,true
GM019IG0201,GM_RM019,281,281,"1271,1200,1283,1230","1271,1200,1283,1230",1,R21B00219,R21B00219,true
GM019IG0202,GM_RM019,80,80,"1272,1163,1290,1187","1272,1163,1290,1187",1,R21B00095,R21B00095,true
GM019IG0203,GM_RM019,278,278,"1277,1140,1289,1158","1277,1140,1289,1158",1,R21B00206,R21B00206,true
GM019IG0204,GM_RM019,284,284,"1283,1200,1289,1218","1283,1200,1289,1218",1,R21B00227,R21B00227,true
GM019IG0205,GM_RM019,77,77,"1284,1133,1302,1145","1284,1133,1302,1145",1,R21B00073,R21B00073,true
GM019IG0206,GM_RM019,279,279,"1289,1170,1313,1200","1289,1170,1313,1200",1,R21B00211,R21B00211,true
GM019IG0207,GM_RM019,79,79,"1290,1133,1308,1145","1290,1133,1308,1145",1,R21B00085,R21B00085,true
GM019IG0208,GM_RM019,78,78,"1290,1133,1308,1151","1290,1133,1308,1151",1,R21B00079,R21B00079,true
GM019IG0209,GM_RM019,77,77,"1296,1175,1332,1199","1296,1175,1332,1199",1,R21B00074,R21B00074,true
GM019IG0210,GM_RM019,284,284,"1301,1140,1307,1146","1301,1140,1307,1146",1,R21B00228,R21B00228,true
GM019IG0211,GM_RM019,81,81,"1302,1133,1314,1145","1302,1133,1314,1145",1,R21B00101,R21B00101,true
GM019IG0212,GM_RM019,78,78,"1302,1175,1326,1199","1302,1175,1326,1199",1,R21B00080,R21B00080,true
GM019IG0213,GM_RM019,80,80,"1308,1175,1326,1199","1308,1175,1326,1199",1,R21B00097,R21B00097,true
GM019IG0214,GM_RM019,284,284,"1319,1194,1331,1200","1319,1194,1331,1200",1,R21B00229,R21B00229,true
GM019IG0215,GM_RM019,289,289,"1320,1138,1344,1150","1320,1138,1344,1150",1,R21B00240,R21B00240,true
