region_id,scene,hypothesis_id,region_role,control_family,sar_frame,azimuth_min,azimuth_max,valid_pixel_count,nonzero_pixel_count,nonzero_ratio,mean_intensity,p95_intensity,p99_intensity,max_intensity,top1pct_mean_intensity,sum_intensity
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,34,41,62,301680,298972,0.9910236,39.34970167,51,54,100,56.88730527,11871018
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,35,41,62,301680,299109,0.99147772,42.77030628,54,59,96,62.51839576,12902946
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,36,41,62,301680,299110,0.99148104,46.08564704,59,65,119,70.53795161,13903118
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,37,41,62,301680,298976,0.99103686,44.4976432,58,64,156,71.02717932,13424049
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,38,41,62,301680,298613,0.9898336,45.11867542,59,67,204,76.4885648,13611402
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,39,41,62,301680,298743,0.99026452,41.53073124,54,62,187,73.59761352,12528991
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,40,41,62,301680,298578,0.98971758,37.58506033,50,58,175,68.12363275,11338661
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,41,41,62,301680,298570,0.98969106,38.17702864,50,59,179,69.09910507,11517246
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,42,41,62,301680,298840,0.99058605,43.90528043,58,68,195,78.27875373,13245345
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,43,41,62,301680,298858,0.99064572,50.1258983,66,75,204,85.29598939,15121981
