structure_id,physical_vehicle_id,window_id,window_polarity,sar_frame,atom_ids,role_combination,long_axis_extent,short_axis_extent,aspect_ratio,max_pair_distance,max_internal_gap,azimuth_span,radial_span,unit_status,source_anchor_compatibility,cross_positive_window_compatibility,negative_window_conflict,grammar_id,grammar_status,background_conflict,entity_class,gate_explanation_cn
S8A_F081_017,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,81,A8A_F081_004,body_core,156,65.165605,2.393901,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,conditional_candidate,false,vehicle_supported,结构含 body_core，几何尺度和紧凑性通过，短窗口存在相邻帧非跳变支持，且未触发背景弧线冲突。
S8A_F081_018,PV_GM19_WHITE_SUV_NEAR_FIELD,white_78_81,positive,81,A8A_F081_002,background_arc,186,46.812533,3.973295,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,true,background_like,结构含 background_arc，背景弧线冲突，不能升级为车辆支持实体。
S8A_F212_019,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_212_238,negative_or_uncertain,212,A8A_F212_001,unresolved_atom,153,117.005181,1.307634,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,not_testable,false,unresolved,"结构含 unresolved_atom，G_scale=True, G_compact=True, G_temporal=True，证据不足。"
S8A_F213_020,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_212_238,negative_or_uncertain,213,A8A_F213_001;A8A_F213_003,unresolved_atom,103.404366,1,103.404366,103.404366,0,9.069178,96.199646,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,not_testable,false,unresolved,"结构含 unresolved_atom，G_scale=True, G_compact=True, G_temporal=True，证据不足。"
S8A_F220_021,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_212_238,negative_or_uncertain,220,A8A_F220_001,body_core,206,159.650634,1.290317,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,not_testable,false,background_like,结构含 body_core，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
S8A_F227_022,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_212_238,negative_or_uncertain,227,A8A_F227_001,body_core,348.650328,151.958462,2.294379,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,partial_vehicle_response,not_testable,false,background_like,结构含 body_core，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
S8A_F238_023,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_212_238,negative_or_uncertain,238,A8A_F238_001,side_ridge,344.139194,154.961857,2.220799,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,background_like,结构含 side_ridge，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
S8A_F239_024,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_239_269,negative_or_uncertain,239,A8A_F239_001;A8A_F239_004,endpoint_hotspot;unresolved_atom,75.156112,1,75.156112,75.156112,0,29.925549,23.531235,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,unresolved,"结构含 endpoint_hotspot,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F243_025,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_239_269,negative_or_uncertain,243,A8A_F243_001;A8A_F243_002,endpoint_hotspot;unresolved_atom,67.381461,1,67.381461,67.381461,0,17.769605,44.250031,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,unresolved,"结构含 endpoint_hotspot,unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F250_026,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_239_269,negative_or_uncertain,250,A8A_F250_001,unresolved_atom,144,97.849682,1.471645,0,0,0,0,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,unresolved,"结构含 unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F260_027,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_239_269,negative_or_uncertain,260,A8A_F260_001;A8A_F260_003,unresolved_atom,56.784057,1,56.784057,56.784057,0,23.072716,20.13913,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,not_testable,not_testable,false,unresolved,"结构含 unresolved_atom，G_scale=True, G_compact=True, G_temporal=False，证据不足。"
S8A_F269_028,PV_GM19_SILVER_MPV_NEAR_FIELD,silver_239_269,negative_or_uncertain,269,A8A_F269_001;A8A_F269_002,unresolved_atom,245.975033,1,245.975033,245.975033,90,61.87553,135.037903,geometry_coordinate_pixel_radius_not_meter,source_shell_entry_only_no_target,computed_in_report_summary,false,weak_temporal_response,not_testable,false,background_like,结构含 unresolved_atom，尺度、孤立性或负向窗口冲突，不能升级为车辆支持实体。
