scene,object_hypothesis_id,sar_start_frame,sar_end_frame,temporal_window_status,spatial_prior_status,spatial_prior_mode,azimuth_prior_available,azimuth_prior_source,azimuth_center_or_interval,azimuth_margin_reason,range_prior_available,range_prior_source,range_prior_mode,range_margin_reason,geometry_confidence_status,uses_primary_observations,uses_secondary_observations,edge_or_partial_state,duplicate_or_handoff_state,ambiguity_status,normal_downstream_input,review_only_context,blocked,blockers,degradation_reason,notes
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,73,179,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-8.754;interval_deg=[-30.245,14.975];optical_x_envelope_px=[173.3,575.8];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,200,298,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-10.799;interval_deg=[-45.414,34.573];optical_x_envelope_px=[0.0,799.7];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,298,386,ready_uncertainty_expanded_sar_temporal_window,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-12.994;interval_deg=[-45.414,34.599];optical_x_envelope_px=[0.0,800.0];margin_deg=5.00",uncertainty_margin_deg=5.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior,no_runtime_safe_per_object_range_prior;uncertainty_requires_broad_range,weak_azimuth_only_expanded_geometry,true,true,true,true,ambiguous_or_review_required,true,false,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,0,30,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=9.163;interval_deg=[-35.584,37.564];optical_x_envelope_px=[146.6,799.6];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,true,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,0,33,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=1.715;interval_deg=[-38.975,37.599];optical_x_envelope_px=[107.9,800.0];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,false,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0053,72,201,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-1.128;interval_deg=[-24.573,18.161];optical_x_envelope_px=[272.4,577.9];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,true,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0069,72,216,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=-1.779;interval_deg=[-24.573,25.234];optical_x_envelope_px=[272.4,658.7];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,true,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0071,174,201,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=0.156;interval_deg=[-12.045,17.175];optical_x_envelope_px=[415.6,566.6];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion;secondary_observation_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,true,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0093,197,301,low_confidence_sar_temporal_window,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,true,configured_legacy_optical_x_to_azimuth_mapping_primary_secondary_bbox_envelope,"center_deg=1.779;interval_deg=[-48.403,37.599];optical_x_envelope_px=[0.1,800.0];margin_deg=8.00",review_only_margin_deg=8.00;edge_or_partial_expansion;duplicate_or_handoff_expansion,false,range_geometry_not_available_in_current_oty2_inputs,broad_unknown_range_prior_review_only,no_runtime_safe_per_object_range_prior;review_only_context,review_only_weak_azimuth_context_range_unknown,true,false,true,true,ambiguous_or_review_required,false,true,false,,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,,,not_ready_for_sar_temporal_window,blocked_no_spatial_prior,blocked_no_spatial_prior,false,not_generated_for_blocked_object,,blocked_no_azimuth_prior,false,not_applicable_blocked_temporal_or_object_status,not_generated_for_blocked_object,blocked_before_spatial_prior_generation,blocked_no_runtime_spatial_prior,false,true,true,true,ambiguous_or_review_required,false,false,true,object_gate_exclude_from_oty2;short_or_noise_not_ready,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
