scene,canonical_vehicle_id,segment_id,dx_px,dy_px,grid_level,offset_category,frame_count,mean_valid_fraction,mean_clarity,median_clarity,temporal_mad_mean,temporal_mad_median,positive_persistence_mean,positive_persistence_p90,positive_persistence_fraction_ge_0_5,vehicle_scale_horizontal_run_px,background_median_mean,background_mad_mean,fixed_world_mean_clarity,fixed_world_minus_track_mean_clarity,phase_world_residual_median_px,phase_vehicle_residual_median_px,phase_wrong_residual_median_px,phase_response_median,flow_world_residual_median_px,flow_vehicle_residual_median_px,flow_wrong_residual_median_px,flow_support_fraction_median,weighted_score,rank,winner
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,160,-40,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,32.6795654296875,41.7573127746582,8.303625106811523,8.0,0.06846205357142857,0.23809523809523808,0.031296875,44.0,46.857142857142854,5.619047619047619,32.06824493408203,-0.6113204956054688,0.14138465207302298,4.739572634114259,4.644564733388055,0.6544811953273084,0.18151090882052934,4.8983615122245565,4.7329736800812805,0.4191517857142857,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-400,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,22.31991958618164,31.684093475341797,6.083499908447266,7.0,0.001290922619047619,0.0,3.125e-05,1.0,40.714285714285715,8.523809523809524,22.338167190551758,0.018247604370117188,0.17255083224911172,4.643998569994359,4.809093992090466,0.42034294213409773,0.44463826437680715,4.603960013370278,4.97532034586912,0.4371875,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-300,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,24.92975425720215,35.40367126464844,6.9982500076293945,7.0,0.010594494047619047,0.0,0.00325,12.0,43.285714285714285,5.714285714285714,24.604862213134766,-0.3248920440673828,0.17808743657305176,4.5917245436302,4.669114537874126,0.453522968650968,0.29043360688814085,4.629321974550757,4.965357712023896,0.4653720238095238,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-200,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,26.4061222076416,36.81153869628906,7.496781349182129,7.0,0.030311011904761903,0.047619047619047616,0.01859375,49.0,44.714285714285715,4.857142857142857,25.173280715942383,-1.2328414916992188,0.14147323735782064,4.532023673624184,4.664521056421249,0.43619112088172524,0.3158594021447225,4.588172000306077,5.102370489620766,0.4652232142857143,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-160,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.122713088989258,37.30120086669922,7.667718887329102,7.0,0.03696056547619048,0.09523809523809523,0.023671875,55.0,45.0,4.857142857142857,25.513296127319336,-1.6094169616699219,0.12339548189725616,4.495419780058485,4.704845581062331,0.4731454305626728,0.33673967532345855,4.59971501074749,5.081191018661642,0.46376488095238094,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-120,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.23491096496582,38.266910552978516,7.974984169006348,7.0,0.046691220238095237,0.14285714285714285,0.0305625,95.0,45.095238095238095,4.9523809523809526,28.240772247314453,0.0058612823486328125,0.1239935854461647,4.523620624869173,4.667719044521899,0.551501106829555,0.42235870404725184,4.4759280543598825,5.054921705782049,0.45300595238095237,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-100,0,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.793201446533203,38.803775787353516,8.060640335083008,7.0,0.05272247023809524,0.14285714285714285,0.035546875,113.0,45.19047619047619,4.857142857142857,29.42063331604004,0.6274318695068359,0.11539094117322368,4.516053695453318,4.6915748911556046,0.575760315289652,0.40621498243050747,4.463816326635193,5.032480931596668,0.44952380952380955,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-80,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.97246551513672,38.935081481933594,8.076984405517578,7.0,0.05600297619047618,0.14285714285714285,0.036296875,119.0,45.19047619047619,4.809523809523809,29.966672897338867,0.9942073822021484,0.13373871447214375,4.563038157000296,4.641162477119334,0.5779965091082785,0.3728991174675057,4.483293719071389,4.9661572345605896,0.4381994047619048,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-40,0,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.533058166503906,39.39689636230469,8.139812469482422,8.0,0.055713541666666665,0.19047619047619047,0.0326875,94.0,45.42857142857143,5.0476190476190474,30.49834632873535,0.9652881622314453,0.09588735375446523,4.58138256554551,4.599617244697196,0.5804322782214042,0.2635108918807526,4.555329967446723,4.83567621642632,0.4335863095238095,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,0,0,COARSE+FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.50941276550293,40.06587219238281,8.276171684265137,8.0,0.06392113095238094,0.23809523809523808,0.034421875,68.0,46.04761904761905,5.190476190476191,30.761159896850586,0.25174713134765625,0.09261579629570368,4.606634247117855,4.588378805726897,0.6037022888108536,0.11580929248787722,4.662695219744867,4.668974545830366,0.41148809523809526,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
